"","TCSER","hUSI","Group"
"TCGA.OR.A5JD.01",0.425008671442322,0.774042379503738,"ACC"
"TCGA.OR.A5L4.01",-0.151801701430721,0.583421708671213,"ACC"
"TCGA.OR.A5KT.01",0.161133594758472,0.617185968626521,"ACC"
"TCGA.PK.A5H9.01",0.511000657321841,0.709281655862491,"ACC"
"TCGA.OR.A5K0.01",-0.113134128455625,0.554504348100025,"ACC"
"TCGA.MV.A51V.01",0.33410996156999,0.506980406052373,"BLCA"
"TCGA.FD.A3SR.01",0.225094505576446,0.445846995269661,"BLCA"
"TCGA.DK.A6B0.01",0.352396588202798,0.485611611570682,"BLCA"
"TCGA.FD.A5BS.01",0.409519692075295,0.51035053033187,"BLCA"
"TCGA.DK.A1AD.01",-0.0642866105319175,0.377954749527844,"BLCA"
"TCGA.XF.AAMQ.01",-0.299301528865844,0.392231810987366,"BLCA"
"TCGA.FT.A3EE.01",0.574750870365667,0.547895191434832,"BLCA"
"TCGA.ZF.AA4T.01",-0.774994720209648,0.262636381896328,"BLCA"
"TCGA.E7.A3X6.01",0.181074506240967,0.460190381870769,"BLCA"
"TCGA.GU.A762.01",-0.397031696068216,0.317298929686948,"BLCA"
"TCGA.FD.A43S.01",0.452278669508822,0.546110617716074,"BLCA"
"TCGA.XF.A8HE.01",-0.585147263803519,0.356494008619262,"BLCA"
"TCGA.BT.A42F.01",-0.0451246135846078,0.421376845728111,"BLCA"
"TCGA.G2.A3IB.01",-0.286047161017984,0.341111682387755,"BLCA"
"TCGA.CU.A3KJ.01",-0.127060151237119,0.510404997181533,"BLCA"
"TCGA.DK.A3IS.01",-0.680505329730284,0.297199921970782,"BLCA"
"TCGA.E5.A4U1.01",-0.327641286060211,0.289765466866859,"BLCA"
"TCGA.XF.A8HF.01",0.0762601758647634,0.395414284702498,"BLCA"
"TCGA.KQ.A41P.01",0.126893333095004,0.413436687411318,"BLCA"
"TCGA.BL.A13I.01",0.05390228714845,0.477321071423627,"BLCA"
"TCGA.ZF.AA4W.01",-0.325042568383807,0.371744943361071,"BLCA"
"TCGA.UY.A9PA.01",0.775631073119435,0.589748960255358,"BLCA"
"TCGA.BT.A20N.11",0.864986388921626,0.648868609141626,"BLCA"
"TCGA.E5.A2PC.01",-0.206110515388401,0.382754349372889,"BLCA"
"TCGA.UY.A9PE.01",-0.223117887902859,0.321033145406262,"BLCA"
"TCGA.XF.A9SV.01",0.20996353628086,0.507276508115308,"BLCA"
"TCGA.E7.A6MF.01",0.511294534200596,0.583670913587831,"BLCA"
"TCGA.ZF.AA56.01",0.0032974811269198,0.479451442176188,"BLCA"
"TCGA.DK.AA6X.01",0.102361223528206,0.493241302931176,"BLCA"
"TCGA.ZF.A9R9.01",0.506571446334321,0.558261252237271,"BLCA"
"TCGA.DK.AA6S.01",0.647972719011333,0.482971263663541,"BLCA"
"TCGA.KQ.A41S.01",0.134875706890038,0.453147009089994,"BLCA"
"TCGA.YF.AA3M.01",-0.869738447355534,0.159215522934457,"BLCA"
"TCGA.CF.A7I0.01",0.369945349950105,0.534108964517673,"BLCA"
"TCGA.XF.A9T8.01",-0.234467609829506,0.452903598086439,"BLCA"
"TCGA.CU.A0YR.01",-0.292604139965996,0.440162088524826,"BLCA"
"TCGA.GC.A3YS.01",-0.323020540298954,0.377909731323078,"BLCA"
"TCGA.K4.A54R.11",0.812487554942491,0.719560037043657,"BLCA"
"TCGA.ZF.AA4N.01",-0.420346148759556,0.392933699853833,"BLCA"
"TCGA.XF.AAMG.01",-0.805362442605729,0.252262361858488,"BLCA"
"TCGA.GC.A3RC.01",-0.251554445126852,0.315748273879827,"BLCA"
"TCGA.CF.A8HY.01",0.0653151474330709,0.360533945472739,"BLCA"
"TCGA.ZF.A9RL.01",-0.312128390103325,0.40591534068166,"BLCA"
"TCGA.XF.A9T0.01",-0.368476728630917,0.41506468455257,"BLCA"
"TCGA.UY.A78M.01",-0.303134637994156,0.321760191286924,"BLCA"
"TCGA.GC.A4ZW.01",-0.416197613550369,0.29369471346151,"BLCA"
"TCGA.K4.A4AC.01",-0.612793829249428,0.270719470764102,"BLCA"
"TCGA.G2.A2ES.01",-0.515514909181753,0.369459171484664,"BLCA"
"TCGA.FJ.A871.01",-0.614607735660751,0.260870268083047,"BLCA"
"TCGA.GD.A3OP.01",0.775645988163115,0.593913553499484,"BLCA"
"TCGA.FD.A3SL.01",0.660709453853066,0.516369835699319,"BLCA"
"TCGA.XF.A9T3.01",-0.0937330928882362,0.425228096937715,"BLCA"
"TCGA.ZF.AA4V.01",-0.518168052010598,0.356181638653595,"BLCA"
"TCGA.GC.A3BM.11",0.820907723093686,0.664272727653116,"BLCA"
"TCGA.K4.A5RI.11",0.883952167556759,0.641635170143603,"BLCA"
"TCGA.XF.AAMW.01",0.0729435210275477,0.523464842545296,"BLCA"
"TCGA.G2.A2EO.01",-0.400547334186047,0.315907723315454,"BLCA"
"TCGA.XF.A8HH.01",0.439389316342805,0.561964744592111,"BLCA"
"TCGA.FD.A3B7.01",-0.144191903630431,0.426720280054042,"BLCA"
"TCGA.K4.A3WU.01",0.706917437884528,0.633290951107192,"BLCA"
"TCGA.CF.A47V.01",0.380422385398542,0.534564858595984,"BLCA"
"TCGA.DK.A3X1.01",-0.268352646454713,0.338931585164432,"BLCA"
"TCGA.4Z.AA81.01",-0.400053185845078,0.438508598136803,"BLCA"
"TCGA.CF.A3MG.01",-0.255787853620429,0.390233917592802,"BLCA"
"TCGA.S5.AA26.01",-0.281395671051205,0.328261250005461,"BLCA"
"TCGA.ZF.A9R4.01",-0.0301559104671519,0.45856642993296,"BLCA"
"TCGA.GC.A3OO.01",0.133897977349277,0.404989756583159,"BLCA"
"TCGA.YC.A9TC.01",-0.738228966590969,0.241124862308959,"BLCA"
"TCGA.YF.AA3L.01",0.121709649120195,0.40813397149792,"BLCA"
"TCGA.XF.A9SJ.01",0.218508147191043,0.451401904118466,"BLCA"
"TCGA.ZF.A9R0.01",0.188859059026919,0.429071753391873,"BLCA"
"TCGA.BT.A42C.01",-0.205381186990471,0.408279644981742,"BLCA"
"TCGA.GU.A42P.01",-0.518367335949678,0.336124561215035,"BLCA"
"TCGA.2F.A9KP.01",-0.45881612582504,0.380049854152586,"BLCA"
"TCGA.CU.A3QU.01",-0.420573106425818,0.412397227618018,"BLCA"
"TCGA.DK.AA6Q.01",-0.38565959542721,0.301068276527079,"BLCA"
"TCGA.BT.A20P.01",0.0227349019178135,0.372330582223852,"BLCA"
"TCGA.ZF.A9RN.01",-0.807484167549282,0.240268962930372,"BLCA"
"TCGA.GV.A3QI.01",-0.487040903543996,0.292490436709019,"BLCA"
"TCGA.FD.A5BU.01",0.300672867740871,0.416448280876009,"BLCA"
"TCGA.FD.A3NA.01",-0.151317596633305,0.379156214073907,"BLCA"
"TCGA.DK.AA76.01",-0.337204835135201,0.358439703289588,"BLCA"
"TCGA.DK.A1AA.01",0.742145888056957,0.5630674831299,"BLCA"
"TCGA.CU.A0YR.11",0.859698377090472,0.648402754890465,"BLCA"
"TCGA.FD.A3B3.01",-0.505159527889694,0.345779820634408,"BLCA"
"TCGA.FD.A6TF.01",-0.0857812397214819,0.377538360003148,"BLCA"
"TCGA.BT.A20W.01",-0.559137418372312,0.372371843484479,"BLCA"
"TCGA.GU.A767.01",-0.0496858424323111,0.334560361032416,"BLCA"
"TCGA.DK.A6B2.01",0.385287630787681,0.509989853479991,"BLCA"
"TCGA.XF.A9T5.01",-0.630715613745115,0.318642853682662,"BLCA"
"TCGA.GC.A3RB.01",-0.743739147095765,0.198232470942999,"BLCA"
"TCGA.XF.AAME.01",0.611140470919225,0.551262864839056,"BLCA"
"TCGA.FD.A6TE.01",-0.455806518797497,0.369537640329171,"BLCA"
"TCGA.BT.A20O.01",-0.215403289789662,0.464837635504275,"BLCA"
"TCGA.E7.A6ME.01",-0.472802827494818,0.323738555685031,"BLCA"
"TCGA.XF.AAMJ.01",0.742983171106333,0.486745446865268,"BLCA"
"TCGA.CF.A1HR.01",0.415022320436668,0.428739919113886,"BLCA"
"TCGA.CF.A9FL.01",0.412217349622077,0.518690502333843,"BLCA"
"TCGA.H4.A2HO.01",0.4883183759661,0.655198304171838,"BLCA"
"TCGA.FJ.A3Z7.01",0.169760242200269,0.591557366920326,"BLCA"
"TCGA.BL.A13J.11",0.831503124765806,0.666553005835596,"BLCA"
"TCGA.DK.AA6L.01",-0.177301583920479,0.406386023627187,"BLCA"
"TCGA.BT.A3PJ.01",-0.309617128637377,0.35008821692959,"BLCA"
"TCGA.K4.A5RH.01",-0.194388132614651,0.44892342507833,"BLCA"
"TCGA.BT.A0YX.01",0.248043229337225,0.474036782262819,"BLCA"
"TCGA.XF.A9SK.01",0.85543606207332,0.505233106006573,"BLCA"
"TCGA.UY.A9PH.01",-0.141449529512078,0.466618833264106,"BLCA"
"TCGA.ZF.A9RC.01",-0.0632053107484579,0.37323275786287,"BLCA"
"TCGA.DK.AA74.01",0.303853199997017,0.424856248667975,"BLCA"
"TCGA.XF.A9SX.01",0.303830372056533,0.463274243740784,"BLCA"
"TCGA.XF.AAN1.01",-0.135608046586183,0.394940925195142,"BLCA"
"TCGA.FD.A43X.01",0.164170189456404,0.437248252063386,"BLCA"
"TCGA.K4.A3WS.01",0.385456344396222,0.453127610702705,"BLCA"
"TCGA.G2.AA3D.01",-0.215154276144258,0.395915653075072,"BLCA"
"TCGA.GU.AATQ.01",-0.663664389312246,0.26387632038115,"BLCA"
