"","orig.ident","nCount_RNA","nFeature_RNA","Condition","DAS","mSS","DAS+mSS","lassoCS","CSS","orig.ident","nCount_RNA","nFeature_RNA","Condition","GLB1","TP53","CDKN1A","CDKN2A","LMNB1","IL1A","RB1","CDK1","CDK4","CDK6","MKI67","CDKN2B","orig.ident","nCount_RNA","nFeature_RNA","Condition","SenMayo","CellAge","GenAge","ASIG","SASP","AgingAtlas","SenUp","SigRS","hUSI"
"OSKM_12_S232_L001","OSKM",45081,4493,"Senescence",0.4,0.375,0.384615384615385,0.210032737190349,0,"OSKM",45081,4493,"Senescence",0.367171776224836,0,1.02050065572926,0,0,0,0.367171776224836,0,0,1.16883133542808,0.20034395739426,0,"OSKM",45081,4493,"Senescence",5.63184350748991,7.41313994675482,8.70171122191315,10.4285650079048,3.56690307102106,9.2901926102319,6.10026591720675,11.0459170153773,0.750432666420225
"OSKM_12_S232_L002","OSKM",52624,4645,"Senescence",0.5,0.3125,0.384615384615385,0.10099737091881,0,"OSKM",52624,4645,"Senescence",0.322123156267409,0,1.84384043345806,0,0,0,0.173976301766965,0,0.173976301766965,1.128268498251,0,0,"OSKM",52624,4645,"Senescence",5.37271906259877,7.60291908132459,8.6704051617116,10.4460115027732,3.54058096651078,9.18819784030071,6.15279356074551,10.9136579370192,0.724318280558766
"OSKM_13_S233_L001","OSKM",65466,5810,"Senescence",0.5,0.375,0.423076923076923,0.287318995243996,0.0415223946711771,"OSKM",65466,5810,"Senescence",0.266587712134954,0,1.19127220057357,0,0,0,0.377239239252758,0,0,0.476857702191878,1.23663844762065,0.266587712134954,"OSKM",65466,5810,"Senescence",5.35324689624073,7.57800143775786,8.65770064179764,10.4798109878011,3.82151926022665,9.25098235027093,6.20184954966657,11.0266378224294,0.609898780270135
"OSKM_13_S233_L002","OSKM",76408,6021,"Senescence",0.6,0.375,0.461538461538462,0.289404623363669,0.0359262148101895,"OSKM",76408,6021,"Senescence",0.122992861383737,0,1.21068252307538,0.122992861383737,0,0,0.122992861383737,0,0,0.650309842110545,0.77835520142209,0.122992861383737,"OSKM",76408,6021,"Senescence",5.10984240478215,7.62181155183242,8.78892156323149,10.6231968436665,3.91720574644383,9.32430951805414,6.18775390950333,11.2744746811088,0.595811164806863
"OSKM_14_S234_L001","OSKM",18625,3730,"Senescence",0.5,0.3125,0.384615384615385,0.123997145061889,0.0777894012671893,"OSKM",18625,3730,"Senescence",0.729394970952286,0.429775697608781,0.729394970952286,0.429775697608781,0,0,0,0.429775697608781,0,1.30415213556407,3.43614983508581,0.429775697608781,"OSKM",18625,3730,"Senescence",5.49347374089782,7.49242936276977,8.40414266328451,10.132172681116,3.62410461498855,9.01051949433827,5.92535228219828,10.8924247491644,0.487904874009867
"OSKM_14_S234_L002","OSKM",21413,3932,"Senescence",0.5,0.3125,0.384615384615385,-0.192989701623726,0,"OSKM",21413,3932,"Senescence",0,0,1.88768647277758,0,0,0,0,0.383223605749355,0,1.55520307384363,3.23018417448905,0,"OSKM",21413,3932,"Senescence",5.35117269390795,7.6492099844819,8.31115475764899,10.2247494267937,3.69752859130733,8.85085749944473,5.95753544826366,10.8595465439951,0.532970865373256
"OSKM_15_S235_L001","OSKM",101908,6323,"Senescence",0.7,0.375,0.5,-0.0515981047476738,0.152172786724537,"OSKM",101908,6323,"Senescence",0.522889004502623,0,1.59434639047545,0.179196216408836,0.0936066596777797,0,0.179196216408836,1.26731959039082,0.179196216408836,1.39672957795471,1.42071683530125,0.0936066596777797,"OSKM",101908,6323,"Senescence",5.32134002924807,7.63380962737496,8.93145028744245,10.6002254952442,3.91364309306576,9.31241242832552,6.28892042423508,11.2482982789809,0.668481000535793
"OSKM_15_S235_L002","OSKM",119095,6493,"Senescence",0.7,0.375,0.5,0.0224332119110268,0.150098682368344,"OSKM",119095,6493,"Senescence",0.654215270738641,0.0806270734837813,1.45271314565499,0.224662192715943,0.0806270734837813,0,0.155235658968421,1.34933566637054,0,1.18390203578901,1.49124650590411,0.0806270734837813,"OSKM",119095,6493,"Senescence",5.30470307978164,7.78151823771933,8.97717461226589,10.711821756395,3.79704795200859,9.39009720621867,6.33873712058142,11.2281720815879,0.629052245066343
"OSKM_16_S236_L001","OSKM",27321,4282,"Senescence",0.2,0.3125,0.269230769230769,-0.0175023055289999,0,"OSKM",27321,4282,"Senescence",0,0.311900533650395,0.311900533650395,0,0,0,0.311900533650395,0,0,1.7506326667605,0.311900533650395,0.311900533650395,"OSKM",27321,4282,"Senescence",5.56032244463623,7.11001889333242,8.41160109302738,10.1075663492932,3.42776020284516,9.21254219839176,6.31199633198801,10.7686929276139,0.780514310376521
"OSKM_16_S236_L002","OSKM",32445,4551,"Senescence",0.6,0.375,0.461538461538462,0.0552924490993724,0.0486279617531407,"OSKM",32445,4551,"Senescence",0,0.268662772116799,0.654739821241917,0,0,0,0.268662772116799,0,0,1.78026405054489,0.268662772116799,1.14977972112603,"OSKM",32445,4551,"Senescence",5.79686237409124,7.19825499682864,8.58825217518949,10.2020596567337,3.41184976567659,9.3067656605531,6.26310411913897,10.8180723845351,0.743503017153666
"OSKM_17_S237_L001","OSKM",96821,6068,"Senescence",0.5,0.3125,0.384615384615385,-0.0426707441130442,0.0287106911266404,"OSKM",96821,6068,"Senescence",0.098290623507841,0.098290623507841,1.57308197364429,0,0,0,0.18777893585083,0.269912730529661,0,1.55142771636136,1.57308197364429,0.482241114617359,"OSKM",96821,6068,"Senescence",5.26811547074471,7.5956596376743,8.66853506752567,10.5962873008617,3.83072267750662,9.28112854886678,6.44529200697737,11.3330737583888,0.893998331286936
"OSKM_17_S237_L002","OSKM",113477,6225,"Senescence",0.5,0.3125,0.384615384615385,0.0215462734013132,0.0685192320118744,"OSKM",113477,6225,"Senescence",0.0844547306916116,0.301950545452247,1.34023856508158,0,0,0,0.162329005138656,0,0,1.58462002432169,1.34023856508158,0.36507213444434,"OSKM",113477,6225,"Senescence",5.34670521632211,7.60178053544562,8.60534129013626,10.5279731288261,3.90798840385918,9.29454922519103,6.41266501643949,11.3187394236394,0.874382399790356
"OSKM_18_S238_L001","OSKM",33485,4668,"Senescence",0.5,0.25,0.346153846153846,0.0966099953295968,0,"OSKM",33485,4668,"Senescence",0,0.639706080159741,1.85246899522724,0,0,0,0.261318473679715,0.639706080159741,0,1.22057309223542,3.04494897700349,0,"OSKM",33485,4668,"Senescence",5.61089987735793,7.60597622843371,8.74989349893691,10.4495935840409,3.81044513120856,9.30407711036657,5.97184082935857,10.9001543936839,0.48376541699796
"OSKM_18_S238_L002","OSKM",39265,4936,"Senescence",0.6,0.25,0.384615384615385,0.0634967572133766,0,"OSKM",39265,4936,"Senescence",0,0.2268803529476,1.76454500292169,0,0,0,0.2268803529476,0.567606191283004,0,1.51853162116012,3.09731449016764,0,"OSKM",39265,4936,"Senescence",5.70973383830899,7.64390946388604,8.7267913970486,10.5712031073976,3.72510000475494,9.37139988258172,5.95776916733232,10.9932899828135,0.439090861070112
"OSKM_19_S239_L001","OSKM",24320,3960,"Senescence",0.5,0.25,0.346153846153846,0.290517412464124,0,"OSKM",24320,3960,"Senescence",0,0,2.4229962510567,0,0,0,0,0.344429217521795,0,0.972571567772745,0.600136985341062,0,"OSKM",24320,3960,"Senescence",5.39177141185557,7.65379359097482,8.58412089332597,10.1784846624598,3.43381594489216,9.13747890123763,6.06725592120815,10.8702027726011,0.712760569458795
"OSKM_19_S239_L002","OSKM",28967,4173,"Senescence",0.4,0.25,0.307692307692308,0.513228259343934,0,"OSKM",28967,4173,"Senescence",0.867470878307599,0,2.22843144447964,0,0,0,0,0.296557883076369,0,1.12210826344008,0,0.296557883076369,"OSKM",28967,4173,"Senescence",5.38582517091015,7.69113626582774,8.65842640374019,10.4476986950028,3.59757928363094,9.16369540253514,6.06705574519773,10.7611281742273,0.766072019702585
"OSKM_20_S240_L001","OSKM",34291,4356,"Senescence",0.6,0.3125,0.423076923076923,0.277418623130659,0.134212804730212,"OSKM",34291,4356,"Senescence",0.255898567069481,0,2.8355162173245,0,0,0,0,0,0,0.459475538275288,0.459475538275288,0,"OSKM",34291,4356,"Senescence",5.45490243662645,7.57396069382961,8.31205353411217,10.1159811986857,3.49578267566674,9.18459156061007,6.09583242218903,10.8137847609472,0.761254919660991
"OSKM_20_S240_L002","OSKM",40767,4575,"Senescence",0.6,0.3125,0.423076923076923,0.30746225103577,0.116598710169472,"OSKM",40767,4575,"Senescence",0.551519859739128,0,2.72308287963315,0,0,0,0,0,0,0.219373606593162,0.800422852818516,0,"OSKM",40767,4575,"Senescence",5.35106002873195,7.54346498813489,8.22062374870898,10.0999210366486,3.62698777491523,9.18166389930176,6.06414743251337,10.9890554987864,0.771386567705352
"OSKM_21_S241_L001","OSKM",78338,5499,"Senescence",0.5,0.375,0.423076923076923,0.446892589630172,0.0586843940391967,"OSKM",78338,5499,"Senescence",0.638460655507765,0.324223171487274,0.764941064825612,0,0,0,0,0,0,0.703699190446755,1.23121458173393,0.764941064825612,"OSKM",78338,5499,"Senescence",5.47891276290283,7.74851420129772,8.38638980789445,10.4346736473847,3.63101627878073,9.09082782666777,6.11730213081881,11.1005348829317,0.462758338390929
"OSKM_21_S241_L002","OSKM",90942,5720,"Senescence",0.6,0.3125,0.423076923076923,0.455618493810343,0.0359801938805084,"OSKM",90942,5720,"Senescence",0.570822110954623,0.104324153788995,0.931944656066711,0.104324153788995,0,0,0,0.19878560154977,0,1.12792630165763,1.22938445893242,0.19878560154977,"OSKM",90942,5720,"Senescence",5.34711889467479,7.73622791494143,8.30392798711411,10.3803304648522,3.41494940832342,8.88311990249478,6.13512075214546,11.0190673409866,0.495704472696493
"OSKM_22_S242_L001","OSKM",105952,5982,"Senescence",0.5,0.375,0.423076923076923,0.0678710902407274,0.0699677412276333,"OSKM",105952,5982,"Senescence",1.26647531430141,0.386562106230018,1.99110450123514,0,0,0,0.0901901510020898,0.386562106230018,0,1.0604420655382,0.0901901510020898,0.448712428551363,"OSKM",105952,5982,"Senescence",5.33282143295781,7.62761119054326,8.61135664445692,10.579697604204,3.87594105700671,9.34100343006927,6.27721711968648,11.3210586480268,0.779051512514177
"OSKM_22_S242_L002","OSKM",125900,6184,"Senescence",0.5,0.375,0.423076923076923,0.109371839743712,0.0605314156354712,"OSKM",125900,6184,"Senescence",1.12009032749327,0.0764313801067966,2.00602069211291,0,0,0,0,0.213726835013429,0,0.951102644793214,0.147433514478438,0.389720953677097,"OSKM",125900,6184,"Senescence",5.54477964551739,7.63175267379432,8.54335068245594,10.523200037073,3.84231624026151,9.2324092695363,6.31235951728731,11.3100783336049,0.7653099395064
"OSKM_23_S243_L001","OSKM",29463,4423,"Senescence",0.4,0.375,0.384615384615385,0.0970706352867027,0.0937742314437645,"OSKM",29463,4423,"Senescence",0.857658997864873,0.518089676484887,1.39987146115363,0,0,0,0,0.292228285216669,0,0,0.702219031540221,0,"OSKM",29463,4423,"Senescence",6.0007833625836,7.71165360048599,8.1844538522668,10.185367719035,3.29878603816676,9.01160517591159,6.0621347663695,11.0952721057859,0.719536049249503
"OSKM_23_S243_L002","OSKM",34554,4634,"Senescence",0.4,0.4375,0.423076923076923,0.0648569291931678,0.0460063300191066,"OSKM",34554,4634,"Senescence",1.10718036659631,0.769000377283688,1.56071546606206,0,0,0,0,0,0,0.456667719060912,0.456667719060912,0,"OSKM",34554,4634,"Senescence",5.90290181706637,7.53737339114665,8.32322347932005,10.3630713841076,3.34744693310685,9.11918674737903,6.13102294239106,11.0999697155906,0.699734351849266
"OSKM_24_S244_L001","OSKM",55923,4919,"Senescence",0.6,0.3125,0.423076923076923,0.163047567930899,0,"OSKM",55923,4919,"Senescence",0.164511649719201,0,0.888112804371825,0.164511649719201,0,0,0,0.305743924244987,0,0.539570041738341,1.48104273424979,0.164511649719201,"OSKM",55923,4919,"Senescence",5.26637486954456,7.74491363394666,8.68669737935788,10.4466985578102,3.78412722726639,9.22842083569248,6.10404519877638,11.1342980990354,0.483401144123676
"OSKM_24_S244_L002","OSKM",65488,5063,"Senescence",0.6,0.3125,0.423076923076923,0.185917453041943,0,"OSKM",65488,5063,"Senescence",0,0,0.79822668923351,0,0,0,0,0.567299708710331,0,0.476730282620897,1.63371926851084,0,"OSKM",65488,5063,"Senescence",5.1016854169446,7.74124165297618,8.75155919355102,10.4352446648671,3.64876162040163,9.21577854653872,6.08666673532716,11.0174042697193,0.514698293186002
"OSKM_25_S245_L001","OSKM",23797,3970,"Senescence",0.7,0.3125,0.461538461538462,0.0596381282029893,0,"OSKM",23797,3970,"Senescence",0,0,2.09725169714845,0.350812518841113,0,0,0.350812518841113,0,0,1.37157335024604,0,0,"OSKM",23797,3970,"Senescence",5.57398665760044,7.32860955117184,8.433731152625,10.0880575050852,3.56140979270243,9.14471889391948,6.05335824613009,10.8652124427814,0.802645098031056
"OSKM_25_S245_L002","OSKM",27946,4160,"Senescence",0.6,0.3125,0.423076923076923,0.0168231663165582,0,"OSKM",27946,4160,"Senescence",0.539801300962125,0.305890019783686,2.29715277356014,0.305890019783686,0,0,0.729237465723598,0,0,1.66657326566161,0.305890019783686,0,"OSKM",27946,4160,"Senescence",5.73482002843606,7.55263807078526,8.49539640958347,10.2486917608033,3.52710887668292,9.22389465212706,6.22925388002597,10.9532350407803,0.840152605137974
"OSKM_26_S246_L001","OSKM",55724,5473,"Senescence",0.4,0.375,0.384615384615385,0.0168422466290096,0.0298746331359547,"OSKM",55724,5473,"Senescence",0.306684217303685,0.306684217303685,0,0,0,0,0,0.165053221745606,0,0.81367809431485,1.90844389745158,1.30612453077804,"OSKM",55724,5473,"Senescence",5.28686082608852,7.5301996206371,8.78016195363324,10.556171535316,3.79667956504112,9.36760864572551,6.2307343803883,10.8632085478873,0.496581505373344
"OSKM_26_S246_L002","OSKM",64561,5626,"Senescence",0.5,0.3125,0.384615384615385,0.0819672203741772,0.0260652794882159,"OSKM",64561,5626,"Senescence",0.144007068995668,0.144007068995668,0.144007068995668,0,0,0,0.144007068995668,0,0,0.872978327113679,1.95172160472417,1.15325570620335,"OSKM",64561,5626,"Senescence",5.47605703970394,7.39505597722758,8.50470911334225,10.3566787001527,3.66635464601129,9.25863047518182,6.14794438046592,10.7858344091297,0.559459062678078
"OSKM_27_S247_L001","OSKM",35381,4683,"Senescence",0.5,0.375,0.423076923076923,0.0761704756977803,0.0810991535370485,"OSKM",35381,4683,"Senescence",0.248918562359721,0,0.880948640717588,0,0,0,0.756380300980878,0,0,1.09140740131436,1.09140740131436,0.448061621751649,"OSKM",35381,4683,"Senescence",5.58188858272382,7.4728150135279,8.29455766866049,10.0984781258673,3.29304400776878,9.05049728245943,6.07853321169608,10.9615839991388,0.506632242270122
"OSKM_27_S247_L002","OSKM",40714,4876,"Senescence",0.5,0.4375,0.461538461538462,-0.0541146006526227,0.072328016359879,"OSKM",40714,4876,"Senescence",0.55207155945632,0,1.30881198747361,0,0,0,0.399602300330823,0,0,1.30881198747361,1.73460683456573,0.55207155945632,"OSKM",40714,4876,"Senescence",5.48862790727906,7.72752841893232,8.50071301168266,10.3370773469078,3.80072153743978,9.28188218215934,6.09043420896799,11.0119306801094,0.481495165490076
"OSKM_28_S248_L001","OSKM",25132,4204,"Senescence",0.5,0.3125,0.384615384615385,0.0514822607285819,0,"OSKM",25132,4204,"Senescence",0.585449594735499,0,2.19254496230877,0,0,0,0.33497046151417,0,0,0.952274045361273,0.585449594735499,0,"OSKM",25132,4204,"Senescence",5.78649525441223,7.69411830875422,8.38685177021274,10.4210644938414,3.38107920467459,9.22820882569274,5.96406213471761,10.9438913298668,0.780940743198107
"OSKM_28_S248_L002","OSKM",29148,4390,"Senescence",0.5,0.25,0.346153846153846,-0.0845593618237461,0,"OSKM",29148,4390,"Senescence",0,0,2.22287511437065,0,0,0,0.294963035755537,0,0,1.56315181508177,0.294963035755537,0,"OSKM",29148,4390,"Senescence",5.6499330171783,7.81494126793678,8.65451143810389,10.5064727476696,3.46117994488353,9.34002968167368,6.02512869068293,10.8609141957026,0.742339574197722
"OSKM_29_S249_L001","OSKM",70528,5547,"Senescence",0.4,0.4375,0.423076923076923,0.0270403329349475,0.0627307682769217,"OSKM",70528,5547,"Senescence",0.249649401028762,0,0.449259088433819,0,0,0,0.354426501570197,0,0,1.48226428035108,0,0.249649401028762,"OSKM",70528,5547,"Senescence",5.80403072321503,7.72387007166419,8.83988219852434,10.6093194083387,3.37527255657314,9.51110224588461,6.319342721421,11.1841941324712,0.559122105770634
