"","orig.ident","nCount_RNA","nFeature_RNA","celltype","hUSI","subtype","TSNE_1","TSNE_2"
"cy82.CD45.pos.1.E09.S537.comb","SeuratProject",9588.9287847,4177,"T cell",0.594978623330965,"T cell",-1.44887338755691,-11.7631989408907
"cy79.p4.CD45.pos.PD1.pos.D03.S327.comb","SeuratProject",9929.60792380002,4151,"T cell",0.670099174394592,"T cell",15.5567448569615,-14.7370632251941
"cy79.p5.CD45.pos.PD1.pos.C09.S609.comb","SeuratProject",9896.71780819998,3927,"T cell",0.613835685474555,"T cell",-4.83359162583187,7.33992069561447
"cy79.p4.CD45.pos.PD1.pos.D11.S335.comb","SeuratProject",9440.28314600003,3626,"T cell",0.537137797428169,"T cell",-10.2250848329974,7.61738578042761
"cy79.p4.CD45.pos.PD1.pos.B05.S305.comb","SeuratProject",6450.80035599999,2593,"T cell",0.561468938333994,"T cell",-18.5989166291668,-6.12856768089985
"cy79.p4.CD45.pos.PD1.pos.F07.S355.comb","SeuratProject",8772.44806800002,3306,"T cell",0.540530987665699,"T cell",-10.1110877557531,4.88095316885589
"cy79.p5.CD45.pos.PD1.pos.H08.S668.comb","SeuratProject",9606.081619,3810,"T cell",0.613006713772797,"T cell",-3.16597158327329,6.07946845732754
"cy80.CD45.neg.C05.S893.comb","SeuratProject",12495.6719516,3263,"Endo. cell",0.824951699301912,"Endo cell",-41.9710602764593,-6.60841074521394
"cy79.p5.CD45.pos.PD1.pos.H09.S669.comb","SeuratProject",10133.2361398,3965,"T cell",0.566217055103965,"T cell",-3.77757795656359,7.38515062365847
"cy80.CD45.neg.D05.S905.comb","SeuratProject",15274.1458375,4231,"Endo. cell",0.857589875683678,"Endo cell",-42.5056196555892,-5.94914513168891
"cy79.p4.CD45.pos.PD1.pos.H11.S383.comb","SeuratProject",8958.3309373,3758,"T cell",0.626321864447483,"T cell",-9.42084380536662,4.06490647369674
"cy82.CD45.pos.3.B09.S21.comb","SeuratProject",11616.8477626,3383,"T cell",0.608562981626576,"T cell",-7.68053666903705,15.8825014361236
"cy79.p4.CD45.pos.PD1.pos.G01.S361.comb","SeuratProject",8515.1153583,3568,"T cell",0.644881038840919,"T cell",-0.236459799385539,-3.41061842954342
"cy79.p5.CD45.pos.PD1.pos.F04.S640.comb","SeuratProject",9096.1009075,3696,"T cell",0.532298957400557,"T cell",21.1834704230179,-5.72351427635255
"cy79.p4.CD45.pos.PD1.pos.D10.S334.comb","SeuratProject",8532.27620599999,2924,"T cell",0.455525886189676,"T cell",-12.5280535896667,2.85912635353959
"cy79.p4.CD45.pos.PD1.pos.E12.S348.comb","SeuratProject",9231.28033099998,2969,"T cell",0.556969359760105,"T cell",-9.12479930821222,5.07589951272692
"cy79.p4.CD45.pos.PD1.pos.D01.S325.comb","SeuratProject",7139.06945030002,2766,"T cell",0.617511529757287,"T cell",-16.2101124762968,-7.17386505256104
"cy79.p4.CD45.pos.PD1.pos.H10.S382.comb","SeuratProject",7131.06066330001,2669,"T cell",0.570091271446583,"T cell",-18.1423806077244,-6.54473596150071
"cy79.p4.CD45.pos.PD1.pos.B07.S307.comb","SeuratProject",9060.0075372,3211,"T cell",0.564362261745538,"T cell",-4.67563309046384,-6.0863038001906
"cy79.p4.CD45.pos.PD1.pos.C01.S313.comb","SeuratProject",8581.52750699998,3579,"T cell",0.490354307150983,"T cell",-12.6510106413262,2.5337352134192
"cy74.CD45.pos.A12.S684.comb","SeuratProject",9705.95626199999,2949,"T cell",0.511102388121971,"T cell",-12.9962570965058,10.9327781413992
"cy80.CD45.pos.PD1.pos.E05.S149.comb","SeuratProject",14200.7202365,5300,"T cell",0.478762632614582,"T cell",-0.892055444516211,20.0595560748441
"cy72.CD45.pos.H11.S959.comb","SeuratProject",8963.03191180002,3344,"T cell",0.501285122687065,"T cell",7.71965576877807,-13.802720454053
"cy58.1.CD45.pos.D08.S620.comb","SeuratProject",10286.8995956,3177,"T cell",0.510072625598721,"T cell",23.7203432428006,-4.58806764681745
"cy72.CD45.pos.C08.S896.comb","SeuratProject",9529.69167849999,4022,"T cell",0.602998253818885,"T cell",9.5861165416276,-11.635311483649
"cy82.CD45.pos.2.B09.S501.comb","SeuratProject",5557.48894089999,2262,"T cell",0.494834749365724,"T cell",-17.5361934481749,-9.69922869538662
"cy80.CD45.pos.PD1.pos.F11.S167.comb","SeuratProject",10613.7781503,3748,"T cell",0.513063783198041,"T cell",8.15373069824226,1.421811697945
"cy58.1.CD45.pos.F12.S648.comb","SeuratProject",11050.8745021,5008,"T cell",0.577330764491886,"T cell",15.7524834099497,-5.29563458103706
"cy74.CD45.pos.E12.S732.comb","SeuratProject",8530.24013,2790,"T cell",0.581108325428094,"T cell",-7.03386018279258,-2.75989999341509
"cy72.CD45.pos.B07.S883.comb","SeuratProject",10405.793499,4232,"T cell",0.603163930604769,"T cell",8.31809405941408,-9.30112277394848
"cy53.1.CD45.pos.2.F05.S1025.comb","SeuratProject",10122.1912828,3818,"T cell",0.551030667002668,"T cell",23.8322900822166,-8.22319231104191
"cy74.CD45.pos.D09.S717.comb","SeuratProject",11270.7086685,3640,"T cell",0.523059595591144,"T cell",-9.88614410557652,11.8103772926328
"cy72.CD45.pos.D03.S903.comb","SeuratProject",8953.38074600002,3331,"T cell",0.568322465686258,"T cell",7.8931414749064,-14.3120634616216
"cy58.1.CD45.pos.D10.S622.comb","SeuratProject",8803.82509550001,2199,"T cell",0.554995127022093,"T cell",3.445327952438,2.1328039724958
"cy53.1.CD45.pos.2.A04.S964.comb","SeuratProject",11710.4240046,4053,"NK cell",0.640540039625513,"NK cell",9.8227589839057,0.629548435387821
"cy72.CD45.pos.B03.S879.comb","SeuratProject",10854.042479,4290,"T cell",0.590183926097502,"T cell",9.58739320180279,-6.22955878636835
"cy80.CD45.pos.PD1.pos.G05.S173.comb","SeuratProject",10713.742042,2858,"T cell",0.415946614833517,"T cell",-10.8637271531135,14.6964456318115
"cy53.1.CD45.pos.1.H03.S87.comb","SeuratProject",10210.2820906,4756,"T cell",0.594692933156972,"T cell",8.64440585092749,-9.34816684370875
"cy72.CD45.pos.G10.S946.comb","SeuratProject",8242.80848430003,2829,"T cell",0.566115915729545,"T cell",9.21190654985434,-15.8182586212804
"cy72.CD45.pos.F07.S931.comb","SeuratProject",8252.62502310001,3461,"T cell",0.532423355631986,"T cell",6.52064515048381,-14.517277463196
"cy53.1.CD45.pos.1.E06.S54.comb","SeuratProject",10364.0703488,3689,"T cell",0.593785087304999,"T cell",15.7924973735728,-4.5850803025756
"cy58.1.CD45.pos.D06.S618.comb","SeuratProject",9784.56780299998,2962,"T cell",0.504378011772626,"T cell",24.0441897918574,-5.25579578731397
"cy80.CD45.pos.PD1.pos.E04.S148.comb","SeuratProject",14057.4272646,5993,"T cell",0.523401916735864,"T cell",-1.20366003957057,20.0906193990039
"cy72.CD45.pos.A06.S870.comb","SeuratProject",8579.2405634,3381,"T cell",0.535451660705893,"T cell",4.80559759471713,-13.9696637908515
"cy74.CD45.pos.G03.S747.comb","SeuratProject",10420.7940075,3837,"T cell",0.626746010503353,"T cell",-8.03631018307148,11.6060240109741
"cy53.1.CD45.neg.D12.S336.comb","SeuratProject",14031.257007,5006,"Endo. cell",0.636358976409144,"Endo cell",-40.5382795790686,-7.0159963954583
"cy53.1.CD45.pos.2.B03.S975.comb","SeuratProject",11183.4129272,5801,"Macro. cell",0.636998052663263,"Macro cell",24.0374595627993,-23.7257001478373
"cy72.CD45.pos.C02.S890.comb","SeuratProject",8810.78405159999,3323,"T cell",0.623642177389669,"T cell",8.50200629566648,-15.8834296448171
