"","Teo2019.method","Teo2019.unit","Teo2019.AUC","Tang2019.method","Tang2019.unit","Tang2019.AUC","Aarts2017.method","Aarts2017.unit","Aarts2017.AUC"
"40","SERPINE1","Fold08.Rep1",0.211044417767107,"SERPINE1","Fold08.Rep1",0.694143518518519,"SERPINE1","Fold08.Rep1",0.299961419753086
"41","hUSI","Fold09.Rep1",0.852500218550573,"hUSI","Fold09.Rep1",0.833622685185185,"hUSI","Fold09.Rep1",0.930362654320988
"42","CDKN1A","Fold09.Rep1",0.720441035055512,"CDKN1A","Fold09.Rep1",0.710123456790123,"CDKN1A","Fold09.Rep1",0.66724537037037
"43","CDKN2A","Fold09.Rep1",0.69322056123787,"CDKN2A","Fold09.Rep1",0.459115547839506,"CDKN2A","Fold09.Rep1",0.479648919753086
"44","CDKN2B","Fold09.Rep1",0.768970189701897,"CDKN2B","Fold09.Rep1",0.496003086419753,"CDKN2B","Fold09.Rep1",0.763695987654321
"45","SERPINE1","Fold09.Rep1",0.197318384474167,"SERPINE1","Fold09.Rep1",0.697054398148148,"SERPINE1","Fold09.Rep1",0.291087962962963
"46","hUSI","Fold10.Rep1",0.864411219033068,"hUSI","Fold10.Rep1",0.824681712962963,"hUSI","Fold10.Rep1",0.916280864197531
"47","CDKN1A","Fold10.Rep1",0.723649459783914,"CDKN1A","Fold10.Rep1",0.709878472222222,"CDKN1A","Fold10.Rep1",0.688850308641975
"48","CDKN2A","Fold10.Rep1",0.709265524391575,"CDKN2A","Fold10.Rep1",0.460056905864198,"CDKN2A","Fold10.Rep1",0.449749228395062
"49","CDKN2B","Fold10.Rep1",0.768601986249045,"CDKN2B","Fold10.Rep1",0.496639660493827,"CDKN2B","Fold10.Rep1",0.75829475308642
"50","SERPINE1","Fold10.Rep1",0.205642256902761,"SERPINE1","Fold10.Rep1",0.694809027777778,"SERPINE1","Fold10.Rep1",0.268711419753086
"51","hUSI","Fold01.Rep2",0.854947984963721,"hUSI","Fold01.Rep2",0.832806712962963,"hUSI","Fold01.Rep2",0.924768518518518
"52","CDKN1A","Fold01.Rep2",0.734548474517003,"CDKN1A","Fold01.Rep2",0.711724537037037,"CDKN1A","Fold01.Rep2",0.675925925925926
"53","CDKN2A","Fold01.Rep2",0.690117143106915,"CDKN2A","Fold01.Rep2",0.458640046296296,"CDKN2A","Fold01.Rep2",0.465952932098765
"54","CDKN2B","Fold01.Rep2",0.759944051053414,"CDKN2B","Fold01.Rep2",0.495320216049383,"CDKN2B","Fold01.Rep2",0.78173225308642
"55","SERPINE1","Fold01.Rep2",0.203252032520325,"SERPINE1","Fold01.Rep2",0.704438657407407,"SERPINE1","Fold01.Rep2",0.287422839506173
"56","hUSI","Fold02.Rep2",0.850747571755975,"hUSI","Fold02.Rep2",0.822922453703704,"hUSI","Fold02.Rep2",0.932484567901235
"57","CDKN1A","Fold02.Rep2",0.735687002073557,"CDKN1A","Fold02.Rep2",0.704805169753086,"CDKN1A","Fold02.Rep2",0.670910493827161
"58","CDKN2A","Fold02.Rep2",0.687940630797774,"CDKN2A","Fold02.Rep2",0.462937885802469,"CDKN2A","Fold02.Rep2",0.486689814814815
"59","CDKN2B","Fold02.Rep2",0.752231801811634,"CDKN2B","Fold02.Rep2",0.492546296296296,"CDKN2B","Fold02.Rep2",0.775655864197531
"60","SERPINE1","Fold02.Rep2",0.204496343992142,"SERPINE1","Fold02.Rep2",0.699647955246914,"SERPINE1","Fold02.Rep2",0.298032407407407
"61","hUSI","Fold03.Rep2",0.871732668939593,"hUSI","Fold03.Rep2",0.822997685185185,"hUSI","Fold03.Rep2",0.912615740740741
"62","CDKN1A","Fold03.Rep2",0.731499694029198,"CDKN1A","Fold03.Rep2",0.712100694444444,"CDKN1A","Fold03.Rep2",0.678819444444444
"63","CDKN2A","Fold03.Rep2",0.705656088818953,"CDKN2A","Fold03.Rep2",0.459492669753086,"CDKN2A","Fold03.Rep2",0.473186728395062
"64","CDKN2B","Fold03.Rep2",0.759135413934785,"CDKN2B","Fold03.Rep2",0.495969328703704,"CDKN2B","Fold03.Rep2",0.771508487654321
"65","SERPINE1","Fold03.Rep2",0.219960223795786,"SERPINE1","Fold03.Rep2",0.698614969135802,"SERPINE1","Fold03.Rep2",0.313078703703704
"66","hUSI","Fold04.Rep2",0.857242765976047,"hUSI","Fold04.Rep2",0.832374614197531,"hUSI","Fold04.Rep2",0.922260802469136
"67","CDKN1A","Fold04.Rep2",0.723314975085235,"CDKN1A","Fold04.Rep2",0.709200424382716,"CDKN1A","Fold04.Rep2",0.71875
"68","CDKN2A","Fold04.Rep2",0.689111810472943,"CDKN2A","Fold04.Rep2",0.455320216049383,"CDKN2A","Fold04.Rep2",0.465856481481482
"69","CDKN2B","Fold04.Rep2",0.769112247574089,"CDKN2B","Fold04.Rep2",0.495364583333333,"CDKN2B","Fold04.Rep2",0.731867283950617
"70","SERPINE1","Fold04.Rep2",0.200771483521287,"SERPINE1","Fold04.Rep2",0.697879050925926,"SERPINE1","Fold04.Rep2",0.291087962962963
"71","hUSI","Fold05.Rep2",0.853221435440161,"hUSI","Fold05.Rep2",0.824542824074074,"hUSI","Fold05.Rep2",0.924382716049383
"72","CDKN1A","Fold05.Rep2",0.723205699798933,"CDKN1A","Fold05.Rep2",0.702146026234568,"CDKN1A","Fold05.Rep2",0.661072530864197
"73","CDKN2A","Fold05.Rep2",0.712125185767987,"CDKN2A","Fold05.Rep2",0.456680169753086,"CDKN2A","Fold05.Rep2",0.475501543209877
"74","CDKN2B","Fold05.Rep2",0.762162339365329,"CDKN2B","Fold05.Rep2",0.498070987654321,"CDKN2B","Fold05.Rep2",0.763503086419753
"75","SERPINE1","Fold05.Rep2",0.19401827082787,"SERPINE1","Fold05.Rep2",0.692538580246914,"SERPINE1","Fold05.Rep2",0.287037037037037
"76","hUSI","Fold06.Rep2",0.855804257186746,"hUSI","Fold06.Rep2",0.827438271604938,"hUSI","Fold06.Rep2",0.933256172839506
"77","CDKN1A","Fold06.Rep2",0.722021066491113,"CDKN1A","Fold06.Rep2",0.716054205246914,"CDKN1A","Fold06.Rep2",0.676311728395062
"78","CDKN2A","Fold06.Rep2",0.705486065393899,"CDKN2A","Fold06.Rep2",0.462314814814815,"CDKN2A","Fold06.Rep2",0.474922839506173
"79","CDKN2B","Fold06.Rep2",0.748738204959403,"CDKN2B","Fold06.Rep2",0.493927469135802,"CDKN2B","Fold06.Rep2",0.777970679012346
"80","SERPINE1","Fold06.Rep2",0.214592933947773,"SERPINE1","Fold06.Rep2",0.694399112654321,"SERPINE1","Fold06.Rep2",0.30054012345679
"81","hUSI","Fold07.Rep2",0.844129731619897,"hUSI","Fold07.Rep2",0.829104938271605,"hUSI","Fold07.Rep2",0.93383487654321
"82","CDKN1A","Fold07.Rep2",0.722145729521811,"CDKN1A","Fold07.Rep2",0.71771412037037,"CDKN1A","Fold07.Rep2",0.678433641975309
"83","CDKN2A","Fold07.Rep2",0.691843692630475,"CDKN2A","Fold07.Rep2",0.46107349537037,"CDKN2A","Fold07.Rep2",0.483796296296296
"84","CDKN2B","Fold07.Rep2",0.766303872716146,"CDKN2B","Fold07.Rep2",0.496689814814815,"CDKN2B","Fold07.Rep2",0.759259259259259
"85","SERPINE1","Fold07.Rep2",0.198891948596905,"SERPINE1","Fold07.Rep2",0.693828125,"SERPINE1","Fold07.Rep2",0.285108024691358
"86","hUSI","Fold08.Rep2",0.853462892917699,"hUSI","Fold08.Rep2",0.830115740740741,"hUSI","Fold08.Rep2",0.919367283950617
"87","CDKN1A","Fold08.Rep2",0.727424894569801,"CDKN1A","Fold08.Rep2",0.710798611111111,"CDKN1A","Fold08.Rep2",0.672453703703704
"88","CDKN2A","Fold08.Rep2",0.695763227685753,"CDKN2A","Fold08.Rep2",0.456637731481481,"CDKN2A","Fold08.Rep2",0.445119598765432
"89","CDKN2B","Fold08.Rep2",0.762086431024738,"CDKN2B","Fold08.Rep2",0.495258487654321,"CDKN2B","Fold08.Rep2",0.766010802469136
"90","SERPINE1","Fold08.Rep2",0.194089387417938,"SERPINE1","Fold08.Rep2",0.693992091049383,"SERPINE1","Fold08.Rep2",0.311342592592593
"91","hUSI","Fold09.Rep2",0.846463197252293,"hUSI","Fold09.Rep2",0.820792824074074,"hUSI","Fold09.Rep2",0.923418209876543
"92","CDKN1A","Fold09.Rep2",0.72714229816095,"CDKN1A","Fold09.Rep2",0.699838927469136,"CDKN1A","Fold09.Rep2",0.681905864197531
"93","CDKN2A","Fold09.Rep2",0.689013521151254,"CDKN2A","Fold09.Rep2",0.456761188271605,"CDKN2A","Fold09.Rep2",0.46556712962963
"94","CDKN2B","Fold09.Rep2",0.756043215512369,"CDKN2B","Fold09.Rep2",0.494676890432099,"CDKN2B","Fold09.Rep2",0.764274691358025
"95","SERPINE1","Fold09.Rep2",0.193100299986957,"SERPINE1","Fold09.Rep2",0.696730324074074,"SERPINE1","Fold09.Rep2",0.317515432098765
"96","hUSI","Fold10.Rep2",0.854860653938995,"hUSI","Fold10.Rep2",0.834087577160494,"hUSI","Fold10.Rep2",0.922453703703704
"97","CDKN1A","Fold10.Rep2",0.727869212201009,"CDKN1A","Fold10.Rep2",0.714442515432099,"CDKN1A","Fold10.Rep2",0.673225308641975
"98","CDKN2A","Fold10.Rep2",0.705749396532807,"CDKN2A","Fold10.Rep2",0.460674189814815,"CDKN2A","Fold10.Rep2",0.460648148148148
"99","CDKN2B","Fold10.Rep2",0.766940969936362,"CDKN2B","Fold10.Rep2",0.493948688271605,"CDKN2B","Fold10.Rep2",0.743344907407407
"100","SERPINE1","Fold10.Rep2",0.191507570770244,"SERPINE1","Fold10.Rep2",0.696857638888889,"SERPINE1","Fold10.Rep2",0.337384259259259
"101","hUSI","Fold01.Rep3",0.857614886309291,"hUSI","Fold01.Rep3",0.829623842592593,"hUSI","Fold01.Rep3",0.936342592592593
"102","CDKN1A","Fold01.Rep3",0.73001173862006,"CDKN1A","Fold01.Rep3",0.709462770061728,"CDKN1A","Fold01.Rep3",0.668788580246914
"103","CDKN2A","Fold01.Rep3",0.696817529672623,"CDKN2A","Fold01.Rep3",0.458604359567901,"CDKN2A","Fold01.Rep3",0.485725308641975
"104","CDKN2B","Fold01.Rep3",0.753967218816573,"CDKN2B","Fold01.Rep3",0.496028163580247,"CDKN2B","Fold01.Rep3",0.746527777777778
"105","SERPINE1","Fold01.Rep3",0.198154428068345,"SERPINE1","Fold01.Rep3",0.696324266975309,"SERPINE1","Fold01.Rep3",0.269097222222222
"106","hUSI","Fold02.Rep3",0.842774718069761,"hUSI","Fold02.Rep3",0.82828125,"hUSI","Fold02.Rep3",0.927083333333333
"107","CDKN1A","Fold02.Rep3",0.720091354139348,"CDKN1A","Fold02.Rep3",0.716856674382716,"CDKN1A","Fold02.Rep3",0.667438271604938
"108","CDKN2A","Fold02.Rep3",0.697132616487455,"CDKN2A","Fold02.Rep3",0.455766782407407,"CDKN2A","Fold02.Rep3",0.461612654320988
"109","CDKN2B","Fold02.Rep3",0.763495497858204,"CDKN2B","Fold02.Rep3",0.495225694444445,"CDKN2B","Fold02.Rep3",0.766203703703704
"110","SERPINE1","Fold02.Rep3",0.211174490777166,"SERPINE1","Fold02.Rep3",0.697309027777778,"SERPINE1","Fold02.Rep3",0.317322530864198
"111","hUSI","Fold03.Rep3",0.857252578450735,"hUSI","Fold03.Rep3",0.827081404320988,"hUSI","Fold03.Rep3",0.934220679012346
"112","CDKN1A","Fold03.Rep3",0.717840684660961,"CDKN1A","Fold03.Rep3",0.700637538580247,"CDKN1A","Fold03.Rep3",0.682484567901235
"113","CDKN2A","Fold03.Rep3",0.692045205178846,"CDKN2A","Fold03.Rep3",0.459967206790123,"CDKN2A","Fold03.Rep3",0.458526234567901
"114","CDKN2B","Fold03.Rep3",0.765624314241826,"CDKN2B","Fold03.Rep3",0.49666087962963,"CDKN2B","Fold03.Rep3",0.764274691358025
"115","SERPINE1","Fold03.Rep3",0.19990125082291,"SERPINE1","Fold03.Rep3",0.702254050925926,"SERPINE1","Fold03.Rep3",0.305362654320988
"116","hUSI","Fold04.Rep3",0.856084447941254,"hUSI","Fold04.Rep3",0.826649305555556,"hUSI","Fold04.Rep3",0.922646604938272
"117","CDKN1A","Fold04.Rep3",0.723358685199755,"CDKN1A","Fold04.Rep3",0.704293016975309,"CDKN1A","Fold04.Rep3",0.699652777777778
"118","CDKN2A","Fold04.Rep3",0.692586764577323,"CDKN2A","Fold04.Rep3",0.461630979938272,"CDKN2A","Fold04.Rep3",0.465277777777778
"119","CDKN2B","Fold04.Rep3",0.768839059358336,"CDKN2B","Fold04.Rep3",0.492530864197531,"CDKN2B","Fold04.Rep3",0.760802469135803
"120","SERPINE1","Fold04.Rep3",0.199744295830055,"SERPINE1","Fold04.Rep3",0.698270640432099,"SERPINE1","Fold04.Rep3",0.281635802469136
"121","hUSI","Fold05.Rep3",0.859951722624534,"hUSI","Fold05.Rep3",0.824926697530864,"hUSI","Fold05.Rep3",0.926890432098765
"122","CDKN1A","Fold05.Rep3",0.736910247970156,"CDKN1A","Fold05.Rep3",0.714656635802469,"CDKN1A","Fold05.Rep3",0.688850308641975
"123","CDKN2A","Fold05.Rep3",0.705771340794382,"CDKN2A","Fold05.Rep3",0.459552469135802,"CDKN2A","Fold05.Rep3",0.471836419753086
"124","CDKN2B","Fold05.Rep3",0.764494184770682,"CDKN2B","Fold05.Rep3",0.495306712962963,"CDKN2B","Fold05.Rep3",0.770447530864197
