"","weight","set"
"AC008770.4",-0.0113571289010439,"Other"
"AC008878.1",-0.000833533898317585,"Other"
"AC008982.1",-0.0130897128982954,"Other"
"AC009133.6",-0.00267132043365573,"Other"
"AC009163.4",-0.00560992568864086,"Other"
"AC009412.1",-0.00227880281027951,"Other"
"AC009690.1",-4.74930629184402e-05,"Other"
"AC009779.3",0.00407223475843599,"Other"
"AC009879.3",0.00795328175636333,"Other"
"AC010132.3",-0.00459635290685618,"Other"
"AC010323.1",-0.00577999851672926,"Other"
"AC010327.1",0.00300279602372604,"Other"
"AC010422.3",0.000451255039644526,"Other"
"AC010422.5",0.00932411531663033,"Other"
"AC010422.6",0.0114184648496968,"Other"
"AC010422.8",0.000386143334377705,"Other"
"AC010522.1",-0.00190390763701764,"Other"
"AC010531.1",0.00195607437490225,"Other"
"AC010547.4",0.00228828801050579,"Other"
"AC010605.1",0.000569931196311067,"Other"
"AC010618.1",-0.000156378419846297,"Other"
"AC010761.1",-0.00201966749615913,"Other"
"AC011005.1",0.0004249758548397,"Other"
"AC011448.1",0.000225009850573366,"Other"
"AC011462.1",0.000401479157979194,"Other"
"AC011473.4",-0.000850126691378916,"Other"
"AC011479.1",-0.010546475980049,"Other"
"AC011511.1",-0.000376567982765076,"Other"
"AC011511.4",-0.0162660432693612,"Other"
"AC011530.1",-0.0079056740468743,"Other"
"AC012184.2",0.00111859975131421,"Other"
"AC012254.2",-0.00574967879361672,"Other"
"AC012309.1",0.000478153591881981,"Other"
"AC012488.2",-0.00166895458204333,"Other"
"AC012531.3",-0.0105582606104473,"Other"
"AC012651.1",0.000675470132598997,"Other"
"AC013394.1",0.001265609767702,"Other"
"AC013489.1",-0.00285098921686588,"Other"
"AC015802.6",0.000871526343214573,"Other"
"AC015813.2",-0.00109686455611295,"Other"
"AC016586.1",-0.000362404409800214,"Other"
"AC018523.2",-0.00108557926379903,"Other"
"AC018630.2",-0.00126516148449188,"Other"
"AC019257.8",0.00915992652102742,"Other"
"AC020909.1",-0.00205433269956045,"Other"
"AC020915.5",0.00621949487269374,"Other"
"AC021087.5",0.000101468432970425,"Other"
"AC022137.3",0.00151949302540593,"Other"
"AC022384.1",-0.00434700349630003,"Other"
"AC022400.7",-0.0035816987913981,"Other"
"AC022506.1",0.00127798735436499,"Other"
"AC022826.2",0.00555755201546342,"Other"
"AC022966.1",-0.000118446624505637,"Other"
"AC023055.1",-0.00358007934027012,"Other"
"AC024592.3",-0.00029986582941477,"Other"
"AC025165.3",-0.000549946262635183,"Other"
"AC025165.6",-0.0115063384628201,"Other"
"AC026464.3",0.00404913935790821,"Other"
"AC026464.4",-0.0103783927933718,"Other"
"AC026464.6",0.00322251588537386,"Other"
"AC026470.1",-0.000409211467505786,"Other"
"AC026954.2",-0.00153839410756318,"Other"
"AC027237.1",-0.00335918630091743,"Other"
"AC027644.4",-0.00083354195440081,"Other"
"AC027796.3",-0.00997888880785774,"Other"
"AC034102.1",0.00178048469014103,"Other"
"AC037459.1",-0.0045503172300687,"Other"
"AC040162.1",-0.00154239769127469,"Other"
"AC046185.1",0.00427319667696467,"Other"
"AC048338.1",0.00173789068659581,"Other"
"AC055839.2",-0.00170053957058251,"Other"
"AC058822.1",-0.0192662431832643,"Other"
"AC067968.1",-0.00476039534382918,"Other"
"AC068234.1",0.0128467029743258,"Other"
"AC068533.4",0.0107235859655528,"Other"
"AC068580.4",0.00491150935047177,"Other"
"AC068631.2",0.00506664448482709,"Other"
"AC068831.7",-0.00162002213866323,"Other"
"AC068896.1",0.00021285977786305,"Other"
"AC068946.1",0.00618899102575754,"Other"
"AC068946.2",0.0010943325293661,"Other"
"AC069257.3",-0.00836295050445171,"Other"
"AC069288.1",-0.00240854029232865,"Other"
"AC069368.1",-0.00309450142233063,"Other"
"AC069503.2",0.00685579783482199,"Other"
"AC073111.4",0.00149923607117565,"Other"
