"","expression","weight","gene","threshold"
"ABL2",0.0120129422833746,0.000715104489540629,"ABL2","Positive"
"ABLIM1",0.0025612499919948,-0.000634395944350347,"ABLIM1","Negative"
"ABLIM3",0.0523585057656167,0.00204744308952899,"ABLIM3","Positive"
"ABR",0.0130573785158305,-6.73630412706389e-06,"ABR","Negative"
"ABRACL",0.00443784327756354,4.88179088220216e-05,"ABRACL","Positive"
"ABRAXAS1",-0.00605209052842949,-0.000595821227118808,"ABRAXAS1","Negative"
"ABRAXAS2",0.00336734961536496,-0.000161147890916161,"ABRAXAS2","Negative"
"ABT1",-0.0226858101330987,-0.00159563405840825,"ABT1","Negative"
"ABTB1",-0.0147798949088153,-0.000589748054840484,"ABTB1","Negative"
"ABTB2",0.0151751977822803,-0.00023403099584326,"ABTB2","Negative"
"AC000093.1",-0.0185728842205724,0.00308169208970595,"AC000093.1","Positive"
"AC000120.2",-0.139323785739291,-0.0136885639275021,"AC000120.2","Negative"
"AC000120.3",-0.22243981457864,-0.0263679887663389,"AC000120.3","Negative"
"AC001226.2",-0.000402446332091583,-0.00163999988946176,"AC001226.2","Negative"
"AC002985.1",-0.0807653759082393,-0.00491264570100106,"AC002985.1","Negative"
"AC002996.1",-0.294714699000213,-0.0186967758274285,"AC002996.1","Negative"
"AC003002.2",0.0413010279057614,0.00118825714413133,"AC003002.2","Positive"
"AC003002.3",0.0255138862379467,0.00638377984122525,"AC003002.3","Positive"
"AC003005.1",0.0886213239792152,0.00192008466295284,"AC003005.1","Positive"
"AC003006.1",-0.064940786981732,0.000643350727193901,"AC003006.1","Positive"
"AC003112.1",-0.0277877116333986,0.00242382799415136,"AC003112.1","Positive"
"AC003665.1",-0.0598655279740134,-0.00201350416630379,"AC003665.1","Negative"
"AC003688.1",-0.0492308055947462,-0.00872640779973433,"AC003688.1","Negative"
"AC004080.3",-0.0824826201071013,0.00234792470703645,"AC004080.3","Positive"
"AC004086.1",0.00254349672101398,-0.00033533170681385,"AC004086.1","Negative"
"AC004151.1",0.00422918643509918,0.000316998835703163,"AC004151.1","Positive"
"AC004156.1",-0.0224877982346089,-0.000230859531666034,"AC004156.1","Negative"
"AC004475.1",0.0025519801344015,0.000477504972331091,"AC004475.1","Positive"
"AC004551.1",0.256294795422261,0.0116316454142944,"AC004551.1","Positive"
"AC004832.3",-0.0245179859256711,0.00927294542175787,"AC004832.3","Positive"
"AC004922.1",-0.0148643972698838,-0.00183809363794453,"AC004922.1","Negative"
"AC004997.1",0.045542675065894,0.00177532427641032,"AC004997.1","Positive"
"AC005020.2",0.0536467275968656,0.000609752728460042,"AC005020.2","Positive"
"AC005154.5",0.0214147756024096,0.00919091008450329,"AC005154.5","Positive"
"AC005258.1",-0.0566653324239438,-0.00226496501900533,"AC005258.1","Negative"
"AC005261.1",0.00666039463066837,0.000197213006741101,"AC005261.1","Positive"
"AC005324.3",0.0678626521292157,-0.00489665923204703,"AC005324.3","Negative"
