"","method","unit","AUC","dataset"
"Teo2019.68","CDKN1A","Fold02.Rep2",0.700563700274348,"Teo2019"
"Teo2019.69","CDKN2A","Fold02.Rep2",0.703114283264746,"Teo2019"
"Teo2019.70","LMNB1","Fold02.Rep2",0.372770919067215,"Teo2019"
"Teo2019.71","CDKN2B","Fold02.Rep2",0.779353137860082,"Teo2019"
"Teo2019.72","SERPINE1","Fold02.Rep2",0.281571502057613,"Teo2019"
"Teo2019.73","hUSI","Fold03.Rep2",0.827396262002744,"Teo2019"
"Teo2019.74","CDKN1A","Fold03.Rep2",0.69400505829904,"Teo2019"
"Teo2019.75","CDKN2A","Fold03.Rep2",0.71133401920439,"Teo2019"
"Teo2019.76","LMNB1","Fold03.Rep2",0.369791666666667,"Teo2019"
"Teo2019.77","CDKN2B","Fold03.Rep2",0.771133401920439,"Teo2019"
"Teo2019.78","SERPINE1","Fold03.Rep2",0.277402692043896,"Teo2019"
"Teo2019.79","hUSI","Fold04.Rep2",0.824181241426612,"Teo2019"
"Teo2019.80","CDKN1A","Fold04.Rep2",0.693426354595336,"Teo2019"
"Teo2019.81","CDKN2A","Fold04.Rep2",0.701549639917695,"Teo2019"
"Teo2019.82","LMNB1","Fold04.Rep2",0.370231052812071,"Teo2019"
"Teo2019.83","CDKN2B","Fold04.Rep2",0.769440157750343,"Teo2019"
"Teo2019.84","SERPINE1","Fold04.Rep2",0.270618998628258,"Teo2019"
"Teo2019.85","hUSI","Fold05.Rep2",0.825638717421125,"Teo2019"
"Teo2019.86","CDKN1A","Fold05.Rep2",0.7164780521262,"Teo2019"
"Teo2019.87","CDKN2A","Fold05.Rep2",0.70840835048011,"Teo2019"
"Teo2019.88","LMNB1","Fold05.Rep2",0.366233710562414,"Teo2019"
"Teo2019.89","CDKN2B","Fold05.Rep2",0.774048353909465,"Teo2019"
"Teo2019.90","SERPINE1","Fold05.Rep2",0.273394633058985,"Teo2019"
"Teo2019.91","hUSI","Fold06.Rep2",0.828960905349794,"Teo2019"
"Teo2019.92","CDKN1A","Fold06.Rep2",0.697702331961591,"Teo2019"
"Teo2019.93","CDKN2A","Fold06.Rep2",0.711891289437586,"Teo2019"
