"","method","unit","AUC","dataset"
"Tang2019.156","SERPINE1","Fold06.Rep3",0.701336805555556,"Tang2019"
"Tang2019.157","hUSI","Fold07.Rep3",0.830958719135802,"Tang2019"
"Tang2019.158","CDKN1A","Fold07.Rep3",0.704867862654321,"Tang2019"
"Tang2019.159","CDKN2A","Fold07.Rep3",0.465216049382716,"Tang2019"
"Tang2019.160","LMNB1","Fold07.Rep3",0.497899305555556,"Tang2019"
"Tang2019.161","CDKN2B","Fold07.Rep3",0.498764467592593,"Tang2019"
"Tang2019.162","SERPINE1","Fold07.Rep3",0.694026813271605,"Tang2019"
"Tang2019.163","hUSI","Fold08.Rep3",0.828099922839506,"Tang2019"
"Tang2019.164","CDKN1A","Fold08.Rep3",0.706485339506173,"Tang2019"
"Tang2019.165","CDKN2A","Fold08.Rep3",0.455545910493827,"Tang2019"
"Tang2019.166","LMNB1","Fold08.Rep3",0.499984567901235,"Tang2019"
"Tang2019.167","CDKN2B","Fold08.Rep3",0.494612268518519,"Tang2019"
"Tang2019.168","SERPINE1","Fold08.Rep3",0.698287037037037,"Tang2019"
"Tang2019.169","hUSI","Fold09.Rep3",0.823346836419753,"Tang2019"
"Tang2019.170","CDKN1A","Fold09.Rep3",0.706750578703704,"Tang2019"
"Tang2019.171","CDKN2A","Fold09.Rep3",0.452609953703704,"Tang2019"
"Tang2019.172","LMNB1","Fold09.Rep3",0.499278549382716,"Tang2019"
"Tang2019.173","CDKN2B","Fold09.Rep3",0.49255787037037,"Tang2019"
"Tang2019.174","SERPINE1","Fold09.Rep3",0.695097415123457,"Tang2019"
"Tang2019.175","hUSI","Fold10.Rep3",0.822889660493827,"Tang2019"
"Tang2019.176","CDKN1A","Fold10.Rep3",0.719346064814815,"Tang2019"
"Tang2019.177","CDKN2A","Fold10.Rep3",0.456072530864198,"Tang2019"
"Tang2019.178","LMNB1","Fold10.Rep3",0.498589891975309,"Tang2019"
"Tang2019.179","CDKN2B","Fold10.Rep3",0.491788194444444,"Tang2019"
"Tang2019.180","SERPINE1","Fold10.Rep3",0.690958719135803,"Tang2019"
"Aarts2017.1","hUSI","Fold01.Rep1",0.913001543209877,"Aarts2017"
"Aarts2017.2","CDKN1A","Fold01.Rep1",0.673996913580247,"Aarts2017"
"Aarts2017.3","CDKN2A","Fold01.Rep1",0.459683641975309,"Aarts2017"
"Aarts2017.4","LMNB1","Fold01.Rep1",0.363618827160494,"Aarts2017"
"Aarts2017.5","CDKN2B","Fold01.Rep1",0.76466049382716,"Aarts2017"
"Aarts2017.6","SERPINE1","Fold01.Rep1",0.309413580246914,"Aarts2017"
"Aarts2017.7","hUSI","Fold02.Rep1",0.926890432098765,"Aarts2017"
"Aarts2017.8","CDKN1A","Fold02.Rep1",0.678240740740741,"Aarts2017"
"Aarts2017.9","CDKN2A","Fold02.Rep1",0.494695216049383,"Aarts2017"
"Aarts2017.10","LMNB1","Fold02.Rep1",0.378279320987654,"Aarts2017"
"Aarts2017.11","CDKN2B","Fold02.Rep1",0.778935185185185,"Aarts2017"
"Aarts2017.12","SERPINE1","Fold02.Rep1",0.309799382716049,"Aarts2017"
"Aarts2017.13","hUSI","Fold03.Rep1",0.929591049382716,"Aarts2017"
"Aarts2017.14","CDKN1A","Fold03.Rep1",0.680941358024691,"Aarts2017"
"Aarts2017.15","CDKN2A","Fold03.Rep1",0.463445216049383,"Aarts2017"
"Aarts2017.16","LMNB1","Fold03.Rep1",0.365740740740741,"Aarts2017"
"Aarts2017.17","CDKN2B","Fold03.Rep1",0.758198302469136,"Aarts2017"
"Aarts2017.18","SERPINE1","Fold03.Rep1",0.310185185185185,"Aarts2017"
"Aarts2017.19","hUSI","Fold04.Rep1",0.911458333333333,"Aarts2017"
"Aarts2017.20","CDKN1A","Fold04.Rep1",0.680941358024691,"Aarts2017"
"Aarts2017.21","CDKN2A","Fold04.Rep1",0.438175154320988,"Aarts2017"
"Aarts2017.22","LMNB1","Fold04.Rep1",0.357928240740741,"Aarts2017"
"Aarts2017.23","CDKN2B","Fold04.Rep1",0.777295524691358,"Aarts2017"
"Aarts2017.24","SERPINE1","Fold04.Rep1",0.311535493827161,"Aarts2017"
"Aarts2017.25","hUSI","Fold05.Rep1",0.925925925925926,"Aarts2017"
"Aarts2017.26","CDKN1A","Fold05.Rep1",0.667052469135802,"Aarts2017"
"Aarts2017.27","CDKN2A","Fold05.Rep1",0.44945987654321,"Aarts2017"
"Aarts2017.28","LMNB1","Fold05.Rep1",0.370563271604938,"Aarts2017"
"Aarts2017.29","CDKN2B","Fold05.Rep1",0.780478395061728,"Aarts2017"
"Aarts2017.30","SERPINE1","Fold05.Rep1",0.303047839506173,"Aarts2017"
"Aarts2017.31","hUSI","Fold06.Rep1",0.939621913580247,"Aarts2017"
"Aarts2017.32","CDKN1A","Fold06.Rep1",0.668016975308642,"Aarts2017"
"Aarts2017.33","CDKN2A","Fold06.Rep1",0.475887345679012,"Aarts2017"
"Aarts2017.34","LMNB1","Fold06.Rep1",0.363233024691358,"Aarts2017"
"Aarts2017.35","CDKN2B","Fold06.Rep1",0.74633487654321,"Aarts2017"
"Aarts2017.36","SERPINE1","Fold06.Rep1",0.296296296296296,"Aarts2017"
"Aarts2017.37","hUSI","Fold07.Rep1",0.921875,"Aarts2017"
"Aarts2017.38","CDKN1A","Fold07.Rep1",0.676118827160494,"Aarts2017"
"Aarts2017.39","CDKN2A","Fold07.Rep1",0.478009259259259,"Aarts2017"
"Aarts2017.40","LMNB1","Fold07.Rep1",0.378086419753086,"Aarts2017"
"Aarts2017.41","CDKN2B","Fold07.Rep1",0.76099537037037,"Aarts2017"
"Aarts2017.42","SERPINE1","Fold07.Rep1",0.315586419753086,"Aarts2017"
"Aarts2017.43","hUSI","Fold08.Rep1",0.931905864197531,"Aarts2017"
"Aarts2017.44","CDKN1A","Fold08.Rep1",0.708719135802469,"Aarts2017"
"Aarts2017.45","CDKN2A","Fold08.Rep1",0.482060185185185,"Aarts2017"
"Aarts2017.46","LMNB1","Fold08.Rep1",0.371238425925926,"Aarts2017"
"Aarts2017.47","CDKN2B","Fold08.Rep1",0.751929012345679,"Aarts2017"
"Aarts2017.48","SERPINE1","Fold08.Rep1",0.280092592592593,"Aarts2017"
"Aarts2017.49","hUSI","Fold09.Rep1",0.919945987654321,"Aarts2017"
"Aarts2017.50","CDKN1A","Fold09.Rep1",0.646219135802469,"Aarts2017"
"Aarts2017.51","CDKN2A","Fold09.Rep1",0.477141203703704,"Aarts2017"
"Aarts2017.52","LMNB1","Fold09.Rep1",0.384452160493827,"Aarts2017"
"Aarts2017.53","CDKN2B","Fold09.Rep1",0.770640432098765,"Aarts2017"
"Aarts2017.54","SERPINE1","Fold09.Rep1",0.30150462962963,"Aarts2017"
"Aarts2017.55","hUSI","Fold10.Rep1",0.926890432098765,"Aarts2017"
"Aarts2017.56","CDKN1A","Fold10.Rep1",0.705825617283951,"Aarts2017"
"Aarts2017.57","CDKN2A","Fold10.Rep1",0.478780864197531,"Aarts2017"
"Aarts2017.58","LMNB1","Fold10.Rep1",0.377893518518519,"Aarts2017"
"Aarts2017.59","CDKN2B","Fold10.Rep1",0.745563271604938,"Aarts2017"
"Aarts2017.60","SERPINE1","Fold10.Rep1",0.290316358024691,"Aarts2017"
"Aarts2017.61","hUSI","Fold01.Rep2",0.918788580246914,"Aarts2017"
"Aarts2017.62","CDKN1A","Fold01.Rep2",0.678819444444444,"Aarts2017"
"Aarts2017.63","CDKN2A","Fold01.Rep2",0.471064814814815,"Aarts2017"
"Aarts2017.64","LMNB1","Fold01.Rep2",0.356288580246914,"Aarts2017"
"Aarts2017.65","CDKN2B","Fold01.Rep2",0.771508487654321,"Aarts2017"
"Aarts2017.66","SERPINE1","Fold01.Rep2",0.32079475308642,"Aarts2017"
"Aarts2017.67","hUSI","Fold02.Rep2",0.916859567901235,"Aarts2017"
"Aarts2017.68","CDKN1A","Fold02.Rep2",0.701967592592593,"Aarts2017"
"Aarts2017.69","CDKN2A","Fold02.Rep2",0.479359567901235,"Aarts2017"
"Aarts2017.70","LMNB1","Fold02.Rep2",0.377893518518519,"Aarts2017"
"Aarts2017.71","CDKN2B","Fold02.Rep2",0.764853395061728,"Aarts2017"
"Aarts2017.72","SERPINE1","Fold02.Rep2",0.311728395061728,"Aarts2017"
"Aarts2017.73","hUSI","Fold03.Rep2",0.929591049382716,"Aarts2017"
"Aarts2017.74","CDKN1A","Fold03.Rep2",0.666859567901235,"Aarts2017"
"Aarts2017.75","CDKN2A","Fold03.Rep2",0.501157407407407,"Aarts2017"
"Aarts2017.76","LMNB1","Fold03.Rep2",0.363618827160494,"Aarts2017"
"Aarts2017.77","CDKN2B","Fold03.Rep2",0.756847993827161,"Aarts2017"
"Aarts2017.78","SERPINE1","Fold03.Rep2",0.309413580246914,"Aarts2017"
"Aarts2017.79","hUSI","Fold04.Rep2",0.938271604938272,"Aarts2017"
"Aarts2017.80","CDKN1A","Fold04.Rep2",0.690007716049383,"Aarts2017"
"Aarts2017.81","CDKN2A","Fold04.Rep2",0.473186728395062,"Aarts2017"
"Aarts2017.82","LMNB1","Fold04.Rep2",0.370756172839506,"Aarts2017"
"Aarts2017.83","CDKN2B","Fold04.Rep2",0.749807098765432,"Aarts2017"
"Aarts2017.84","SERPINE1","Fold04.Rep2",0.288387345679012,"Aarts2017"
"Aarts2017.85","hUSI","Fold05.Rep2",0.922260802469136,"Aarts2017"
"Aarts2017.86","CDKN1A","Fold05.Rep2",0.662229938271605,"Aarts2017"
"Aarts2017.87","CDKN2A","Fold05.Rep2",0.468364197530864,"Aarts2017"
"Aarts2017.88","LMNB1","Fold05.Rep2",0.370563271604938,"Aarts2017"
"Aarts2017.89","CDKN2B","Fold05.Rep2",0.760320216049383,"Aarts2017"
"Aarts2017.90","SERPINE1","Fold05.Rep2",0.299961419753086,"Aarts2017"
"Aarts2017.91","hUSI","Fold06.Rep2",0.918402777777778,"Aarts2017"
"Aarts2017.92","CDKN1A","Fold06.Rep2",0.677469135802469,"Aarts2017"
"Aarts2017.93","CDKN2A","Fold06.Rep2",0.444444444444444,"Aarts2017"
"Aarts2017.94","LMNB1","Fold06.Rep2",0.364583333333333,"Aarts2017"
"Aarts2017.95","CDKN2B","Fold06.Rep2",0.77295524691358,"Aarts2017"
"Aarts2017.96","SERPINE1","Fold06.Rep2",0.311342592592593,"Aarts2017"
"Aarts2017.97","hUSI","Fold07.Rep2",0.922839506172839,"Aarts2017"
"Aarts2017.98","CDKN1A","Fold07.Rep2",0.68287037037037,"Aarts2017"
"Aarts2017.99","CDKN2A","Fold07.Rep2",0.455054012345679,"Aarts2017"
"Aarts2017.100","LMNB1","Fold07.Rep2",0.37037037037037,"Aarts2017"
"Aarts2017.101","CDKN2B","Fold07.Rep2",0.758487654320988,"Aarts2017"
"Aarts2017.102","SERPINE1","Fold07.Rep2",0.281635802469136,"Aarts2017"
"Aarts2017.103","hUSI","Fold08.Rep2",0.92554012345679,"Aarts2017"
"Aarts2017.104","CDKN1A","Fold08.Rep2",0.673611111111111,"Aarts2017"
"Aarts2017.105","CDKN2A","Fold08.Rep2",0.458719135802469,"Aarts2017"
"Aarts2017.106","LMNB1","Fold08.Rep2",0.364197530864198,"Aarts2017"
"Aarts2017.107","CDKN2B","Fold08.Rep2",0.774884259259259,"Aarts2017"
"Aarts2017.108","SERPINE1","Fold08.Rep2",0.303240740740741,"Aarts2017"
"Aarts2017.109","hUSI","Fold09.Rep2",0.930555555555556,"Aarts2017"
"Aarts2017.110","CDKN1A","Fold09.Rep2",0.693479938271605,"Aarts2017"
"Aarts2017.111","CDKN2A","Fold09.Rep2",0.473186728395062,"Aarts2017"
"Aarts2017.112","LMNB1","Fold09.Rep2",0.372588734567901,"Aarts2017"
"Aarts2017.113","CDKN2B","Fold09.Rep2",0.748842592592593,"Aarts2017"
"Aarts2017.114","SERPINE1","Fold09.Rep2",0.28858024691358,"Aarts2017"
"Aarts2017.115","hUSI","Fold10.Rep2",0.924961419753086,"Aarts2017"
"Aarts2017.116","CDKN1A","Fold10.Rep2",0.660686728395062,"Aarts2017"
"Aarts2017.117","CDKN2A","Fold10.Rep2",0.472993827160494,"Aarts2017"
"Aarts2017.118","LMNB1","Fold10.Rep2",0.399787808641975,"Aarts2017"
"Aarts2017.119","CDKN2B","Fold10.Rep2",0.777391975308642,"Aarts2017"
"Aarts2017.120","SERPINE1","Fold10.Rep2",0.311149691358025,"Aarts2017"
"Aarts2017.121","hUSI","Fold01.Rep3",0.923418209876543,"Aarts2017"
"Aarts2017.122","CDKN1A","Fold01.Rep3",0.688657407407407,"Aarts2017"
"Aarts2017.123","CDKN2A","Fold01.Rep3",0.488618827160494,"Aarts2017"
"Aarts2017.124","LMNB1","Fold01.Rep3",0.370177469135802,"Aarts2017"
"Aarts2017.125","CDKN2B","Fold01.Rep3",0.765528549382716,"Aarts2017"
"Aarts2017.126","SERPINE1","Fold01.Rep3",0.301697530864198,"Aarts2017"
"Aarts2017.127","hUSI","Fold02.Rep3",0.916473765432099,"Aarts2017"
"Aarts2017.128","CDKN1A","Fold02.Rep3",0.713155864197531,"Aarts2017"
"Aarts2017.129","CDKN2A","Fold02.Rep3",0.460069444444444,"Aarts2017"
"Aarts2017.130","LMNB1","Fold02.Rep3",0.372588734567901,"Aarts2017"
"Aarts2017.131","CDKN2B","Fold02.Rep3",0.758005401234568,"Aarts2017"
"Aarts2017.132","SERPINE1","Fold02.Rep3",0.280285493827161,"Aarts2017"
"Aarts2017.133","hUSI","Fold03.Rep3",0.916087962962963,"Aarts2017"
"Aarts2017.134","CDKN1A","Fold03.Rep3",0.658950617283951,"Aarts2017"
"Aarts2017.135","CDKN2A","Fold03.Rep3",0.461998456790124,"Aarts2017"
"Aarts2017.136","LMNB1","Fold03.Rep3",0.364583333333333,"Aarts2017"
"Aarts2017.137","CDKN2B","Fold03.Rep3",0.780092592592593,"Aarts2017"
"Aarts2017.138","SERPINE1","Fold03.Rep3",0.309606481481482,"Aarts2017"
"Aarts2017.139","hUSI","Fold04.Rep3",0.939814814814815,"Aarts2017"
"Aarts2017.140","CDKN1A","Fold04.Rep3",0.675733024691358,"Aarts2017"
"Aarts2017.141","CDKN2A","Fold04.Rep3",0.451581790123457,"Aarts2017"
"Aarts2017.142","LMNB1","Fold04.Rep3",0.363811728395062,"Aarts2017"
"Aarts2017.143","CDKN2B","Fold04.Rep3",0.76195987654321,"Aarts2017"
"Aarts2017.144","SERPINE1","Fold04.Rep3",0.325231481481481,"Aarts2017"
"Aarts2017.145","hUSI","Fold05.Rep3",0.922646604938272,"Aarts2017"
"Aarts2017.146","CDKN1A","Fold05.Rep3",0.699652777777778,"Aarts2017"
"Aarts2017.147","CDKN2A","Fold05.Rep3",0.481288580246914,"Aarts2017"
"Aarts2017.148","LMNB1","Fold05.Rep3",0.363618827160494,"Aarts2017"
"Aarts2017.149","CDKN2B","Fold05.Rep3",0.747492283950617,"Aarts2017"
"Aarts2017.150","SERPINE1","Fold05.Rep3",0.337384259259259,"Aarts2017"
"Aarts2017.151","hUSI","Fold06.Rep3",0.922260802469136,"Aarts2017"
"Aarts2017.152","CDKN1A","Fold06.Rep3",0.666666666666667,"Aarts2017"
"Aarts2017.153","CDKN2A","Fold06.Rep3",0.482445987654321,"Aarts2017"
"Aarts2017.154","LMNB1","Fold06.Rep3",0.392554012345679,"Aarts2017"
"Aarts2017.155","CDKN2B","Fold06.Rep3",0.766396604938272,"Aarts2017"
"Aarts2017.156","SERPINE1","Fold06.Rep3",0.28587962962963,"Aarts2017"
"Aarts2017.157","hUSI","Fold07.Rep3",0.928240740740741,"Aarts2017"
"Aarts2017.158","CDKN1A","Fold07.Rep3",0.660300925925926,"Aarts2017"
"Aarts2017.159","CDKN2A","Fold07.Rep3",0.455246913580247,"Aarts2017"
"Aarts2017.160","LMNB1","Fold07.Rep3",0.385030864197531,"Aarts2017"
"Aarts2017.161","CDKN2B","Fold07.Rep3",0.745177469135803,"Aarts2017"
"Aarts2017.162","SERPINE1","Fold07.Rep3",0.293788580246914,"Aarts2017"
"Aarts2017.163","hUSI","Fold08.Rep3",0.924961419753086,"Aarts2017"
"Aarts2017.164","CDKN1A","Fold08.Rep3",0.668402777777778,"Aarts2017"
"Aarts2017.165","CDKN2A","Fold08.Rep3",0.471836419753086,"Aarts2017"
"Aarts2017.166","LMNB1","Fold08.Rep3",0.369791666666667,"Aarts2017"
"Aarts2017.167","CDKN2B","Fold08.Rep3",0.765432098765432,"Aarts2017"
"Aarts2017.168","SERPINE1","Fold08.Rep3",0.30883487654321,"Aarts2017"
"Aarts2017.169","hUSI","Fold09.Rep3",0.931134259259259,"Aarts2017"
"Aarts2017.170","CDKN1A","Fold09.Rep3",0.69483024691358,"Aarts2017"
"Aarts2017.171","CDKN2A","Fold09.Rep3",0.468460648148148,"Aarts2017"
"Aarts2017.172","LMNB1","Fold09.Rep3",0.364969135802469,"Aarts2017"
"Aarts2017.173","CDKN2B","Fold09.Rep3",0.761574074074074,"Aarts2017"
"Aarts2017.174","SERPINE1","Fold09.Rep3",0.282600308641975,"Aarts2017"
"Aarts2017.175","hUSI","Fold10.Rep3",0.922453703703704,"Aarts2017"
"Aarts2017.176","CDKN1A","Fold10.Rep3",0.659143518518518,"Aarts2017"
"Aarts2017.177","CDKN2A","Fold10.Rep3",0.4765625,"Aarts2017"
"Aarts2017.178","LMNB1","Fold10.Rep3",0.363618827160494,"Aarts2017"
"Aarts2017.179","CDKN2B","Fold10.Rep3",0.784336419753086,"Aarts2017"
"Aarts2017.180","SERPINE1","Fold10.Rep3",0.305362654320988,"Aarts2017"
