Gene,Weight,Derection
SERPINA1,0.011775362,Positive
CYP11A1,0.011767758,Positive
ADAMTS18,0.011717366,Positive
MYOM1,0.011714158,Positive
GRHL3,0.011703923,Positive
MGAT4A,0.011696476,Positive
STRC,0.011666082,Positive
APLP1,0.011611701,Positive
TREM1,0.011607874,Positive
NTSR1,0.011588412,Positive
SCN4B,0.01157405,Positive
RHPN1,0.011544685,Positive
IL1RN,0.011529513,Positive
CHRNA9,0.011528257,Positive
LYPD5,0.011520335,Positive
KCNMB2,0.011510198,Positive
RIMKLA,0.011509417,Positive
ZIC5,0.011495687,Positive
RSAD2,0.011456375,Positive
CYP26B1,0.011434454,Positive
CCR1,0.011421807,Positive
PRB1,0.011402533,Positive
MAEL,0.011400951,Positive
TRIM6-TRIM34,0.011377784,Positive
POLN,0.011358263,Positive
QPCT,0.011334624,Positive
TMEM151A,0.011328888,Positive
TNFSF15,0.011324297,Positive
PLEKHH1,0.01124399,Positive
NDST3,0.011225501,Positive
DOC2B,0.011190485,Positive
SNX10,0.011137666,Positive
ADCY4,0.011133553,Positive
IGFBP5,0.011111712,Positive
GIMAP2,0.011089366,Positive
SIRPG,0.01108742,Positive
DCSTAMP,0.01108625,Positive
CCSER1,0.011045013,Positive
GALNT17,0.011044031,Positive
FRMPD3,0.011024276,Positive
ACKR3,0.010997447,Positive
MRLN,0.010992267,Positive
VEPH1,0.010942934,Positive
PTPRZ1,0.010942192,Positive
STYK1,0.010924646,Positive
SH3GL2,0.010915316,Positive
RASGRP3,0.010900162,Positive
KLHL4,0.010876538,Positive
TSPAN1,0.010862485,Positive
CRABP1,0.010831675,Positive
LONRF2,0.010819042,Positive
CERS4,0.010799887,Positive
SLC1A1,0.010798101,Positive
HLA-DRB5,0.0107921,Positive
B4GALNT3,0.010783591,Positive
SYNPO2L,0.010748861,Positive
PPP1R14C,0.010748351,Positive
TCEAL5,0.010746647,Positive
TGFA,0.010721928,Positive
PKIB,0.010721288,Positive
GCNT2,0.010692045,Positive
RYR1,0.010663476,Positive
TMEM132B,0.010663409,Positive
KRT13,0.010660359,Positive
ZNF610,0.01063495,Positive
TCAP,0.010589241,Positive
FGG,0.010577788,Positive
TMEM253,0.010576582,Positive
SFRP5,0.010570784,Positive
TENM1,0.010568807,Positive
IL36RN,0.010548442,Positive
CYP46A1,0.010474112,Positive
CD72,0.010471474,Positive
BICDL2,0.010469147,Positive
TMEM178B,0.010453304,Positive
FRRS1L,0.010443308,Positive
PRAME,0.010441553,Positive
