Gene,Weight,Derection
MEGF8,0.002066347,Positive
SPEF1,0.002063517,Positive
TH,0.002059539,Positive
PLSCR3,0.002058199,Positive
MGAM2,0.002057897,Positive
CAPN8,0.002057276,Positive
C1orf53,0.002055258,Positive
HPS5,0.002053195,Positive
TOB1,0.002052948,Positive
DMTF1,0.002050607,Positive
LYSMD3,0.002048642,Positive
JKAMP,0.00204763,Positive
PTPRJ,0.002047194,Positive
APH1B,0.002046354,Positive
LIN37,0.002043422,Positive
ITPR1,0.002043205,Positive
RXFP1,0.002042529,Positive
MIGA1,0.002040227,Positive
RIOK3,0.002039335,Positive
REXO2,0.002037491,Positive
BATF2,0.002037486,Positive
TM7SF3,0.002037327,Positive
ZSWIM8,0.0020367,Positive
SLC4A3,0.002036245,Positive
TCN2,0.002036174,Positive
COG6,0.00203177,Positive
NME5,0.002031658,Positive
PPP1R12C,0.002029914,Positive
AFM,0.002029824,Positive
GGCX,0.002029667,Positive
CLN5,0.002028795,Positive
DEFB103A,0.002028558,Positive
ARF4,0.002027641,Positive
ZDHHC9,0.002024578,Positive
PLOD3,0.002024136,Positive
SLC11A2,0.002023306,Positive
PCYT1A,0.002023127,Positive
MBNL2,0.002022995,Positive
ATP5F1E,0.002022228,Positive
RALB,0.002021147,Positive
RNF14,0.002019501,Positive
RNF121,0.002015088,Positive
TNFAIP1,0.002014021,Positive
VAT1,0.002013925,Positive
MBD5,0.002013787,Positive
LENG8,0.00201303,Positive
ISYNA1,0.0020124,Positive
TUBB3,0.002011067,Positive
LAP3,0.002010415,Positive
MREG,0.002009425,Positive
ZBTB46,0.002009262,Positive
MMP19,0.002007386,Positive
MYL12B,0.002006982,Positive
ARHGAP18,0.002006513,Positive
CCDC69,0.002006296,Positive
TBC1D8B,0.002004288,Positive
ZBTB4,0.002001926,Positive
ZNF654,0.002001817,Positive
RWDD2A,0.002001315,Positive
SLC30A9,0.002001286,Positive
MYBL1,0.002000489,Positive
RAB5A,0.002000356,Positive
RNF166,0.001999942,Positive
LZTR1,0.001999366,Positive
SLC9A2,0.001999326,Positive
OCIAD1,0.001999215,Positive
TIMP1,0.00199838,Positive
CDC34,0.001998379,Positive
MYOF,0.001998294,Positive
ZFC3H1,0.001997372,Positive
MOSPD1,0.001996616,Positive
TBCEL,0.00199543,Positive
SDF2,0.001995303,Positive
FUOM,0.001994618,Positive
PLIN2,0.001993588,Positive
HEXA,0.001992647,Positive
TBC1D19,0.001992628,Positive
GGA1,0.001991626,Positive
RAB29,0.001991091,Positive
PEA15,0.001987376,Positive
FAM241B,0.00198438,Positive
RNF181,0.001983603,Positive
ABCG1,0.00198201,Positive
RPN1,0.001980213,Positive
MYPOP,0.001980106,Positive
APOE,0.001979423,Positive
FAM221A,0.001979058,Positive
SMIM26,0.00197852,Positive
ZFAND2A,0.001978466,Positive
SSC5D,0.001977755,Positive
DSC1,0.001976734,Positive
RHOJ,0.001976409,Positive
CARD6,0.001976192,Positive
LPAR2,0.001976005,Positive
MICALL2,0.001975774,Positive
GLIPR2,0.001975317,Positive
BOLA2B,0.001974562,Positive
COA5,0.001973222,Positive
ZNF431,0.001972813,Positive
IL23A,0.001972132,Positive
ADGRV1,0.001971328,Positive
NINJ1,0.001971302,Positive
ANKRD63,0.001969616,Positive
TTLL3,0.001969393,Positive
IFNGR2,0.001969116,Positive
VIL1,0.001968822,Positive
PLSCR4,0.00196877,Positive
LURAP1,0.001967294,Positive
COMMD6,0.001967174,Positive
YIPF3,0.001966904,Positive
NEDD4L,0.001966061,Positive
ILDR1,0.001964514,Positive
COL4A2,0.001963855,Positive
TDRD5,0.001963374,Positive
ARL8A,0.001963297,Positive
STOML1,0.001961155,Positive
NMRAL1,0.001959562,Positive
ZNF440,0.001959286,Positive
ORAI2,0.00195878,Positive
RABGAP1L,0.001957808,Positive
SLC12A9,0.00195565,Positive
USO1,0.001955286,Positive
ZNF425,0.001954787,Positive
FXYD3,0.001953652,Positive
SAMD8,0.001953496,Positive
LEPROT,0.001952971,Positive
KATNB1,0.001952181,Positive
SCRN2,0.001951625,Positive
NCEH1,0.001951497,Positive
NAGK,0.001951062,Positive
RO60,0.001950389,Positive
PTP4A1,0.001948329,Positive
TRAK2,0.001945024,Positive
ENO1,0.001939622,Positive
CHURC1,0.001939513,Positive
LMBR1L,0.00193907,Positive
TRIM23,0.001938704,Positive
AKAP9,0.001936366,Positive
GRIP1,0.001936316,Positive
TIMP2,0.00193487,Positive
PIM2,0.001934321,Positive
FOXO4,0.00193416,Positive
LRP10,0.001932703,Positive
METTL8,0.001932465,Positive
RNF103,0.001927569,Positive
BBS5,0.001927112,Positive
CTU2,0.001925282,Positive
HDAC10,0.001925148,Positive
SDC4,0.001924914,Positive
ARAP1,0.001924318,Positive
ZNF660,0.001922742,Positive
IRGQ,0.001921767,Positive
SURF2,0.001921609,Positive
ZFP82,0.001919813,Positive
CT45A5,0.001915896,Positive
MRPL17,0.00191555,Positive
TRPT1,0.00191505,Positive
CAMK1D,0.001914886,Positive
GIPC1,0.001914791,Positive
TRPC4,0.001914658,Positive
NRBF2,0.001913991,Positive
SECISBP2L,0.001913936,Positive
SLC13A3,0.00191364,Positive
ZNF569,0.001912035,Positive
TMEM59,0.001910915,Positive
ZMPSTE24,0.001909899,Positive
DDT,0.001908781,Positive
UBR3,0.001907572,Positive
B3GNTL1,0.001907388,Positive
FAT3,0.001906591,Positive
OAZ1,0.001906531,Positive
MOB2,0.001905821,Positive
ALPK2,0.001905474,Positive
GGPS1,0.001905283,Positive
ARL6IP5,0.001903689,Positive
ZNF837,0.001901222,Positive
TOM1L2,0.001899605,Positive
TBX19,0.001898678,Positive
REEP5,0.001898571,Positive
SHARPIN,0.001898344,Positive
WNK2,0.001896921,Positive
SULT2A1,0.001896157,Positive
LIMK2,0.001895305,Positive
NME4,0.001895259,Positive
RHBDD2,0.001895146,Positive
GHDC,0.001894808,Positive
MCEE,0.001892854,Positive
TRIM38,0.001890942,Positive
FHOD1,0.001889881,Positive
BARX1,0.001889617,Positive
CHRND,0.001889317,Positive
PRKAR1A,0.001888921,Positive
RNF149,0.001888552,Positive
HERC4,0.001888245,Positive
UBE2L6,0.001888069,Positive
SERP1,0.001888023,Positive
RPN2,0.001887346,Positive
ATP2C1,0.001887253,Positive
PGM3,0.001886984,Positive
IGSF8,0.001886574,Positive
ZNF227,0.001886286,Positive
CLCN2,0.001885987,Positive
RND3,0.001884664,Positive
RBCK1,0.001883604,Positive
SOX4,0.00188187,Positive
TMEM234,0.001880275,Positive
INSIG2,0.001880265,Positive
IP6K2,0.001879854,Positive
TNFRSF11A,0.001879706,Positive
SLC4A7,0.001879637,Positive
LAPTM4A,0.001876916,Positive
ADAM23,0.001876001,Positive
FLI1,0.001875669,Positive
DMXL2,0.001875482,Positive
ZNF420,0.001874934,Positive
TCEAL2,0.001874539,Positive
ZNF622,0.001873582,Positive
TPD52L2,0.001873081,Positive
TMEM50B,0.001870978,Positive
ANGPTL2,0.001870766,Positive
IRF9,0.001869607,Positive
NDEL1,0.001869497,Positive
GAGE12E,0.001868262,Positive
MIEF2,0.001866193,Positive
DIPK1B,0.001865803,Positive
ARSD,0.001865203,Positive
FUCA2,0.001864668,Positive
C1orf216,0.00186453,Positive
ZNF461,0.001864518,Positive
SH3GLB1,0.001863235,Positive
ERCC6,0.001861898,Positive
ENKUR,0.001861039,Positive
C2CD2L,0.001860443,Positive
SRA1,0.001859663,Positive
ATP6V0D1,0.001857993,Positive
COPE,0.001855165,Positive
GOLGA2,0.001855141,Positive
ADAM9,0.001853838,Positive
DPCD,0.001853767,Positive
SLC4A4,0.001853483,Positive
SCML4,0.001853343,Positive
IER5,0.001853041,Positive
HS2ST1,0.001852663,Positive
IFIT1,0.001852525,Positive
NDFIP2,0.001852486,Positive
ZNF20,0.001852232,Positive
ZNF554,0.001851659,Positive
BTBD10,0.001851168,Positive
UQCRQ,0.001850846,Positive
NDUFA5,0.00185072,Positive
BMP1,0.001850042,Positive
TMEM127,0.001848589,Positive
C19orf53,0.001848062,Positive
RAB11FIP5,0.001846735,Positive
PRKRIP1,0.001846089,Positive
ATP9A,0.001845956,Positive
IL1RAP,0.001845428,Positive
ZFYVE1,0.001845209,Positive
ERGIC3,0.001844492,Positive
RAP1GAP2,0.001844409,Positive
ARID4B,0.001843688,Positive
TMCO3,0.001843591,Positive
HIPK3,0.001842824,Positive
ARHGEF28,0.001840657,Positive
FRY,0.001840609,Positive
CHMP1B,0.001836522,Positive
EXTL2,0.001836167,Positive
TAP2,0.001835765,Positive
FAM131A,0.001835659,Positive
PRKCE,0.001834975,Positive
RABGGTA,0.001834403,Positive
CCDC170,0.001833991,Positive
USP35,0.00183369,Positive
SBDS,0.001832683,Positive
FKBP2,0.00183197,Positive
POLR2L,0.001831287,Positive
MOB4,0.001830668,Positive
TCEA3,0.001830016,Positive
DEFB103B,0.00182951,Positive
COL12A1,0.001829161,Positive
DDR2,0.001828962,Positive
FGF12,0.001826251,Positive
TRPC1,0.00182535,Positive
DAP3,0.001825066,Positive
ICAM5,0.001824867,Positive
MZF1,0.001824853,Positive
HM13,0.001824716,Positive
TMUB2,0.001824531,Positive
JRKL,0.001822985,Positive
PAGE5,0.001822342,Positive
CISD1,0.001822235,Positive
IFNAR2,0.001821873,Positive
PLEKHA1,0.001820988,Positive
OST4,0.001820598,Positive
COX5B,0.001819972,Positive
TAS2R5,0.001819322,Positive
COL11A1,0.001818798,Positive
TRAPPC6B,0.001818029,Positive
IQANK1,0.00181773,Positive
RHOQ,0.001817195,Positive
COPB1,0.001816955,Positive
ZNF707,0.001816795,Positive
TIMM29,0.001814331,Positive
RALA,0.001813631,Positive
VLDLR,0.001813011,Positive
SDC2,0.001812912,Positive
MANSC1,0.001812901,Positive
PSMB5,0.001812828,Positive
COMMD5,0.001812819,Positive
PHF23,0.001811696,Positive
TOR1AIP2,0.001811466,Positive
TBK1,0.001811255,Positive
SBNO2,0.001810926,Positive
ATP5ME,0.001809207,Positive
DENND4A,0.001809016,Positive
ATP6V1H,0.001807771,Positive
UGCG,0.001807334,Positive
PEX11G,0.001806212,Positive
SLC4A2,0.001806106,Positive
RFTN1,0.001805678,Positive
CEACAM19,0.001804638,Positive
RCN3,0.001804463,Positive
GALNT2,0.001803733,Positive
DNASE2,0.001801427,Positive
FBXL15,0.001801242,Positive
MPP2,0.001800037,Positive
NR2F1,0.001799415,Positive
MRAS,0.001799398,Positive
ITM2C,0.0017989,Positive
FAM234A,0.001798264,Positive
DKK1,0.00179623,Positive
TFRC,0.00179551,Positive
CDIP1,0.001795202,Positive
PPP6R2,0.001794182,Positive
CEP164,0.001794147,Positive
CD81,0.001793805,Positive
GDE1,0.001793657,Positive
MTUS2,0.001791747,Positive
RNF146,0.001790196,Positive
HMOX2,0.001787748,Positive
CXCL14,0.001787135,Positive
GRINA,0.001784291,Positive
KIF3A,0.001784145,Positive
COX4I1,0.001783997,Positive
RNF170,0.001783201,Positive
LRP5,0.001781366,Positive
OTC,0.001780939,Positive
GAS2L1,0.001780533,Positive
DAPK3,0.001779951,Positive
COPA,0.001779027,Positive
CRYL1,0.001778916,Positive
CNPY4,0.001776404,Positive
PARP14,0.001776187,Positive
MAPK8IP1,0.001771236,Positive
CCNG1,0.001771142,Positive
MRFAP1,0.001769772,Positive
TNIP1,0.001769327,Positive
INPPL1,0.00176924,Positive
PRDX2,0.001767863,Positive
ASCC3,0.001766952,Positive
EEF1AKMT4,0.001764438,Positive
COX17,0.00176335,Positive
KHDC4,0.001763073,Positive
NDUFB8,0.001762584,Positive
UBXN4,0.001762224,Positive
TPP1,0.001761905,Positive
CT45A3,0.001761865,Positive
SAP18,0.00176116,Positive
ANKRD13D,0.001760069,Positive
HTR7,0.001760039,Positive
TLX1,0.001760036,Positive
DIRAS1,0.001759373,Positive
TICAM2,0.001757657,Positive
RGPD2,0.001755458,Positive
PREPL,0.001755141,Positive
SYT1,0.001755033,Positive
RFLNA,0.001752357,Positive
CCDC142,0.001752007,Positive
ACP2,0.001751908,Positive
TM9SF3,0.001751158,Positive
SEMA3A,0.001750965,Positive
DGKA,0.00174851,Positive
TLCD2,0.001747426,Positive
SIRT7,0.001747241,Positive
ABCC5,0.001744843,Positive
SGSH,0.001743992,Positive
CHIC1,0.001741609,Positive
EPM2AIP1,0.001740294,Positive
TIMM17A,0.001738719,Positive
PUSL1,0.001737912,Positive
WNT5B,0.001737797,Positive
FAM200B,0.001737746,Positive
F2R,0.001737677,Positive
INTU,0.001737441,Positive
TEX9,0.001737277,Positive
ERN1,0.001737182,Positive
RRP9,0.001734528,Positive
PDIA3,0.001733951,Positive
RSPH3,0.001733822,Positive
ANO10,0.001733704,Positive
BAD,0.001732577,Positive
ATP7B,0.00173241,Positive
SRI,0.001731656,Positive
WFS1,0.001731325,Positive
ZNF135,0.00173125,Positive
DLG4,0.001729351,Positive
VPS18,0.001728882,Positive
ALG2,0.001728161,Positive
MAGED2,0.001727389,Positive
HLA-DQA2,0.001727108,Positive
TMEM120B,0.001726989,Positive
TMF1,0.001726813,Positive
GCAT,0.001726112,Positive
PRICKLE1,0.001725797,Positive
FGF2,0.001725727,Positive
DNAJB11,0.001725205,Positive
DACT1,0.001724528,Positive
PIGS,0.001724099,Positive
TJP3,0.001724009,Positive
FBXO22,0.001723658,Positive
INMT-MINDY4,0.001722583,Positive
CFAP36,0.001721167,Positive
UNC5D,0.001720522,Positive
MAFG,0.001719568,Positive
ASAH1,0.001719086,Positive
TMEM68,0.001718766,Positive
DDR1,0.00171786,Positive
NCBP2,0.001717172,Positive
EIF2AK3,0.00171698,Positive
PLPP5,0.001716971,Positive
YDJC,0.001715624,Positive
RAPGEF3,0.001713973,Positive
TTYH3,0.001712186,Positive
DUSP10,0.001711745,Positive
ADPRHL1,0.001707947,Positive
SLITRK3,0.001706007,Positive
B4GALT4,0.001705852,Positive
SCO2,0.001704832,Positive
UBA6,0.001704612,Positive
MYL6,0.001703464,Positive
ZMYM5,0.001702649,Positive
EBF4,0.001702544,Positive
DRD4,0.001702258,Positive
CYB5D1,0.001701519,Positive
BTN2A1,0.001701262,Positive
HOOK2,0.001699872,Positive
TM2D3,0.001699616,Positive
CEACAM8,0.001699551,Positive
TAPT1,0.001699429,Positive
TRIM52,0.001699053,Positive
ADIPOR1,0.001698816,Positive
AFF4,0.001696517,Positive
KLK4,0.001696214,Positive
KRBA1,0.001695225,Positive
ZNF225,0.001694644,Positive
TIGD3,0.001692056,Positive
EEF1AKMT1,0.001691696,Positive
TM9SF4,0.001691606,Positive
C5orf24,0.001691403,Positive
SERPINB1,0.001690746,Positive
PAG1,0.001689159,Positive
HSPA5,0.00168824,Positive
ZNF790,0.001687763,Positive
POPDC3,0.001687756,Positive
WASHC4,0.001687439,Positive
SFN,0.001686115,Positive
NAA30,0.001683653,Positive
STK36,0.00168283,Positive
ITGA5,0.001680201,Positive
UFC1,0.001679246,Positive
FNDC4,0.001679193,Positive
HTR1D,0.001678735,Positive
CREM,0.001676647,Positive
EFCAB13,0.001676539,Positive
BTN3A3,0.001676035,Positive
FAM161B,0.001675779,Positive
NDUFA2,0.001674446,Positive
CACNA1H,0.001672709,Positive
PPP1R3B,0.001671635,Positive
NAPG,0.001671603,Positive
PANX1,0.001671231,Positive
ESRRA,0.001669946,Positive
COG1,0.001667224,Positive
C1orf52,0.001666822,Positive
ANKEF1,0.001664582,Positive
CLPTM1L,0.001664541,Positive
MTURN,0.001664363,Positive
GFOD2,0.001664175,Positive
SEL1L,0.001663774,Positive
D2HGDH,0.001663165,Positive
SYF2,0.001662703,Positive
NCOA4,0.001662673,Positive
MYH13,0.00166265,Positive
ZC3H12A,0.001662313,Positive
GLMP,0.001659318,Positive
TTC13,0.001658399,Positive
GXYLT1,0.001657532,Positive
DUSP8,0.001655967,Positive
ZNF415,0.001655945,Positive
NUDT16L1,0.00165579,Positive
UQCRHL,0.0016556,Positive
NDUFB1,0.001655268,Positive
MCTP2,0.001651391,Positive
NFU1,0.001650883,Positive
OAZ2,0.001649844,Positive
TXNDC15,0.001649642,Positive
EDARADD,0.001649397,Positive
TSPO,0.00164859,Positive
KIAA2013,0.00164858,Positive
CFAP53,0.001647931,Positive
CDR2L,0.001647849,Positive
PTPN6,0.001647429,Positive
MTPN,0.00164638,Positive
WDR18,0.001646269,Positive
NPM3,0.00164561,Positive
SENP5,0.001644647,Positive
MYO5A,0.001644634,Positive
NFKBID,0.001643859,Positive
COX7B2,0.001642982,Positive
LGALSL,0.001642122,Positive
C4orf3,0.00164145,Positive
ADAMTSL4,0.001639677,Positive
PRADC1,0.001638727,Positive
PPP1R2,0.001637849,Positive
HSD17B12,0.001637811,Positive
ARMCX6,0.001637472,Positive
GGACT,0.001637332,Positive
SYNC,0.001636597,Positive
SGSM2,0.001636342,Positive
MAN2C1,0.001634614,Positive
SCARA5,0.001630882,Positive
YAE1,0.001630634,Positive
DDOST,0.001629371,Positive
CCND3,0.001628406,Positive
SUCNR1,0.001627907,Positive
SNAPC3,0.001627901,Positive
MRPL33,0.001627728,Positive
TMED5,0.001627111,Positive
TMC7,0.001625218,Positive
LMF2,0.001622435,Positive
TMTC3,0.001621212,Positive
BDH1,0.001620798,Positive
GLB1,0.001620407,Positive
TTLL7,0.001619155,Positive
LMNTD2,0.001619144,Positive
ZNF862,0.001618164,Positive
SAMD3,0.001617902,Positive
PJA2,0.001617092,Positive
TAGLN,0.001616763,Positive
KLHL20,0.001614887,Positive
GPAT4,0.001614571,Positive
CD164,0.001614566,Positive
DNAJC10,0.001614556,Positive
CEP170,0.001614256,Positive
ZNF444,0.001612994,Positive
PICALM,0.001611219,Positive
MPP4,0.001610523,Positive
DYNLL1,0.001610378,Positive
PEX7,0.001608631,Positive
CYP27A1,0.001608443,Positive
HSP90B1,0.001607874,Positive
ORMDL2,0.001606324,Positive
LRRC73,0.001602914,Positive
BICDL1,0.001602284,Positive
SLC22A23,0.001601315,Positive
ARL1,0.001601127,Positive
USP12,0.001601027,Positive
TXNDC17,0.001600862,Positive
SPCS1,0.001597727,Positive
STRN3,0.001597139,Positive
BBOF1,0.001596209,Positive
RUNDC1,0.001594599,Positive
ZUP1,0.001594595,Positive
CNPPD1,0.001592798,Positive
THBS3,0.001592553,Positive
GRIP2,0.001590879,Positive
RNF44,0.001590436,Positive
KLLN,0.001589981,Positive
RABGGTB,0.00158979,Positive
EMP3,0.001589689,Positive
NCLN,0.001589253,Positive
CLCC1,0.001588887,Positive
PTDSS2,0.001583397,Positive
RECQL,0.00158163,Positive
ZNF616,0.001579723,Positive
SLC38A7,0.001579561,Positive
PYCR1,0.001579319,Positive
PRTG,0.001578817,Positive
RMDN2,0.001578372,Positive
UBE2Q1,0.001577597,Positive
EPB41,0.001576854,Positive
RGL1,0.001576641,Positive
EPG5,0.001575639,Positive
PFKM,0.001574088,Positive
BMP5,0.001573724,Positive
ANKZF1,0.001572838,Positive
BET1,0.001572579,Positive
MIER2,0.001572571,Positive
PCDHB4,0.00157193,Positive
KLHL36,0.001570969,Positive
REEP3,0.001569914,Positive
RGPD4,0.001569046,Positive
FEZ2,0.001568733,Positive
TMEM131,0.001567013,Positive
KDM5B,0.001566754,Positive
RGS19,0.001565839,Positive
AGTRAP,0.00156357,Positive
ARF6,0.001562732,Positive
NAT14,0.001561771,Positive
METRN,0.001561734,Positive
BNIP3L,0.001561349,Positive
PDK2,0.001561037,Positive
KIF3C,0.001560472,Positive
COLEC12,0.001560378,Positive
CFAP69,0.001559884,Positive
CHRNA5,0.001559751,Positive
ELOC,0.001559682,Positive
MT1HL1,0.001558755,Positive
PAFAH2,0.001557343,Positive
FNDC11,0.001556453,Positive
TIMM8B,0.001556011,Positive
EEF1B2,0.001555757,Positive
PTPMT1,0.001555725,Positive
CT45A10,0.001555693,Positive
YKT6,0.001555423,Positive
CKAP4,0.001555396,Positive
C10orf55,0.001554071,Positive
CD320,0.001554036,Positive
NAT8,0.001553447,Positive
PGGHG,0.001552991,Positive
SETD7,0.00155158,Positive
GOLGA4,0.001551007,Positive
DCAF5,0.001550379,Positive
COL18A1,0.001549985,Positive
SLC16A4,0.001549865,Positive
EPHA8,0.001548598,Positive
CERS5,0.001548388,Positive
VPS9D1,0.001545638,Positive
JCHAIN,0.001545072,Positive
TRAPPC4,0.00154432,Positive
TMEM219,0.001543526,Positive
SLC25A30,0.00154297,Positive
SELENOS,0.001542501,Positive
HEATR5B,0.001540409,Positive
PLLP,0.001540388,Positive
S100A16,0.001540374,Positive
SSR3,0.00154018,Positive
ZNF565,0.00154002,Positive
DNAJC24,0.001539197,Positive
DOK3,0.001538277,Positive
TMEM205,0.001537669,Positive
SIPA1,0.001537601,Positive
RAB5C,0.001536104,Positive
UQCRH,0.001536084,Positive
LGI4,0.001533506,Positive
ANGEL1,0.001532359,Positive
CTSB,0.001532331,Positive
C5AR1,0.001532191,Positive
HLA-A,0.001532124,Positive
IRF3,0.001531767,Positive
SLC30A4,0.001531661,Positive
CCDC90B,0.001531415,Positive
GPR137,0.001531295,Positive
TTC17,0.001530558,Positive
SPATA20,0.001530026,Positive
TM9SF1,0.001529601,Positive
NEDD8,0.001529414,Positive
RAET1E,0.001528783,Positive
ABCC10,0.001528378,Positive
YIPF5,0.001528194,Positive
TMA7,0.001527662,Positive
ZNF235,0.001527164,Positive
UBE2W,0.00152687,Positive
SEC11A,0.001526842,Positive
ERO1B,0.001526765,Positive
TNIK,0.001526023,Positive
TTC19,0.001525962,Positive
ADGRL1,0.001525524,Positive
RNPC3,0.001525122,Positive
SH2B1,0.001524974,Positive
PCMTD2,0.001524768,Positive
HYOU1,0.001523813,Positive
LMAN1,0.001523783,Positive
ZCCHC17,0.001522916,Positive
BORCS6,0.001522268,Positive
LTO1,0.00152195,Positive
TWF1,0.001521765,Positive
PML,0.001521752,Positive
RAB13,0.001520874,Positive
CORO1B,0.001520434,Positive
RRAGB,0.00152033,Positive
ZBTB17,0.001518709,Positive
TMEM243,0.001518556,Positive
TMEM80,0.001517995,Positive
FAM98C,0.00151711,Positive
PGRMC2,0.001517063,Positive
DNPH1,0.001515852,Positive
SMARCD3,0.001514465,Positive
MGAT1,0.001512499,Positive
GOLGA5,0.001511161,Positive
DPY30,0.001510764,Positive
ZRANB2,0.001510748,Positive
PAQR7,0.001509121,Positive
LAMP2,0.001508632,Positive
SIPA1L2,0.00150686,Positive
ENGASE,0.001506402,Positive
SRSF5,0.001506397,Positive
COG3,0.001506229,Positive
CNTNAP1,0.001505121,Positive
BTRC,0.001505094,Positive
CHMP3,0.00150454,Positive
TSSC4,0.001503648,Positive
THAP8,0.001503174,Positive
ATRN,0.00150276,Positive
VN1R1,0.001502354,Positive
SCNN1D,0.001501478,Positive
PBLD,0.001501438,Positive
EPSTI1,0.001501061,Positive
ZKSCAN1,0.001498993,Positive
SPAG7,0.001498867,Positive
ZMYM6,0.001498344,Positive
KLHL28,0.001497763,Positive
HOOK1,0.001496518,Positive
CPT1C,0.00149633,Positive
AQP10,0.001496144,Positive
SFXN3,0.001496135,Positive
ING4,0.001495647,Positive
EPHA5,0.001495617,Positive
SRSF11,0.001493847,Positive
FUBP3,0.001492858,Positive
SLC33A1,0.001490253,Positive
MAPK12,0.001487337,Positive
RUNX2,0.001487261,Positive
ETFB,0.00148724,Positive
ATL3,0.001486788,Positive
NKTR,0.001486417,Positive
AKAP8L,0.001485743,Positive
KIF21B,0.001485221,Positive
THOC2,0.001484985,Positive
TEX2,0.001484405,Positive
REC8,0.001484213,Positive
VEGFA,0.001483117,Positive
MYBBP1A,0.00148218,Positive
DDB1,0.001481924,Positive
STIM2,0.001481611,Positive
KIAA1217,0.001480055,Positive
DNAJB2,0.001478333,Positive
COX7C,0.001478226,Positive
KAT2A,0.001478142,Positive
RNASEH1,0.001478026,Positive
VPS8,0.001477596,Positive
TMEM126B,0.001477336,Positive
PRDX1,0.001477304,Positive
MYCBP,0.001475341,Positive
CRK,0.00147482,Positive
CCNT2,0.001473372,Positive
DNAJC16,0.001470877,Positive
CT45A7,0.001467537,Positive
CAPZA2,0.001467456,Positive
MSANTD4,0.001466927,Positive
GEM,0.001464588,Positive
DHRS3,0.001464439,Positive
ZNF804A,0.001464425,Positive
GRB2,0.001463725,Positive
DAB1,0.001461953,Positive
WDR47,0.001461801,Positive
EPN2,0.001461649,Positive
FBXO39,0.001461326,Positive
TSNAX,0.00146105,Positive
TRPM4,0.001460351,Positive
EIF5B,0.00146035,Positive
COL6A1,0.001459417,Positive
MORF4L2,0.00145924,Positive
DENR,0.001458024,Positive
ARV1,0.001455393,Positive
FURIN,0.001455328,Positive
POLK,0.001454635,Positive
C19orf25,0.001454291,Positive
GDF11,0.001453725,Positive
PIK3C3,0.00145278,Positive
RGL2,0.001452365,Positive
KIAA1191,0.001451552,Positive
AP1B1,0.001449591,Positive
FAM227B,0.001448885,Positive
SPRYD7,0.001448411,Positive
RAB10,0.001447774,Positive
G6PC3,0.001447566,Positive
DENND2C,0.001447521,Positive
FUNDC1,0.001445755,Positive
PTS,0.001445453,Positive
MTIF3,0.001444519,Positive
BCKDHA,0.001444007,Positive
NUFIP2,0.001443999,Positive
LIN7A,0.001443478,Positive
NPTN,0.00144318,Positive
FOSL2,0.001442962,Positive
AFF1,0.001442455,Positive
BPNT1,0.001441813,Positive
SLC2A8,0.001440969,Positive
SHB,0.001440401,Positive
GAMT,0.00143983,Positive
PLAC8,0.001439398,Positive
TEPSIN,0.001438497,Positive
ZNF337,0.00143836,Positive
TMEM245,0.001437212,Positive
POLR2K,0.00143707,Positive
VMAC,0.00143705,Positive
MICOS13,0.001436191,Positive
PHLDB3,0.001435895,Positive
RNF6,0.001435792,Positive
TMEM167B,0.001435015,Positive
ATAD1,0.001434589,Positive
MFSD11,0.001434577,Positive
SLC45A1,0.001432773,Positive
ANKLE2,0.00143257,Positive
ZNF701,0.001432562,Positive
RBM18,0.001432105,Positive
TMED2,0.001431899,Positive
ERGIC2,0.001431363,Positive
DNASE1,0.001431108,Positive
ANXA2,0.001429606,Positive
NADK,0.001429239,Positive
NRIP3,0.00142901,Positive
PLEKHG1,0.001428788,Positive
ZNF761,0.001427988,Positive
OGT,0.001427688,Positive
TXN,0.001427425,Positive
CHKB-CPT1B,0.001426671,Positive
GATD1,0.001426552,Positive
DEXI,0.001426329,Positive
COQ4,0.001426307,Positive
ZNF84,0.001426026,Positive
NAA80,0.001425801,Positive
HCFC2,0.001425757,Positive
SPDYA,0.001423325,Positive
FIG4,0.001422288,Positive
RRAS2,0.001422243,Positive
FAM229B,0.00142212,Positive
TPM2,0.001421858,Positive
KRCC1,0.00142183,Positive
SEC61A1,0.001421791,Positive
LRCH4,0.001420884,Positive
SLC39A10,0.001420536,Positive
PPP2R1B,0.001418914,Positive
HEATR5A,0.001417675,Positive
FBXO9,0.001417408,Positive
CPLANE1,0.001417272,Positive
KLF9,0.001416672,Positive
PDCD5,0.00141585,Positive
EIF6,0.001415045,Positive
KYAT1,0.001414606,Positive
POLR2H,0.001413646,Positive
RBM34,0.001413451,Positive
MAP3K11,0.001413119,Positive
INTS6,0.001411639,Positive
SOCS4,0.001410773,Positive
EXOC1,0.001410369,Positive
PCSK7,0.001409426,Positive
CHRFAM7A,0.001409124,Positive
SLC18A3,0.001409023,Positive
NPHP3,0.001408431,Positive
CYCS,0.001408246,Positive
CHGA,0.001408149,Positive
NECAP1,0.001407094,Positive
FNBP1L,0.001406184,Positive
TMPRSS13,0.001405586,Positive
TMEM106A,0.001405106,Positive
DAGLB,0.001403853,Positive
NDST2,0.001402368,Positive
IRF5,0.001401133,Positive
NUDT14,0.001400748,Positive
KDELR2,0.00140052,Positive
HIGD1A,0.001399535,Positive
NLRP3,0.001399093,Positive
FSD1L,0.001398737,Positive
TMEM179B,0.001398434,Positive
